,13,1,2,3,4,5,6,7,-2,8,9,10,11,12,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17
13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,1,,4.5,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,4.5,,4.5,,,,,,,,,,,,,,,,,,,,
-2,,,,,,,,4.5,,1.5,,,,13,,,,,,,,,,,,,,,
8,,,,,,,,,1.5,,3.5,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,3.5,,3,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,2,,4.5,,,,,,,,,,,,,,,
12,,,,,,,,,13,,,,4.5,,14.5,,,,,,,,,,,,,,
-3,,,,,,,,,,,,,,14.5,,3.5,,,,,,,,,,,,,
-4,,,,,,,,,,,,,,,3.5,,1,,,,,,,,,,,,
-5,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
-6,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
-7,,,,,,,,,,,,,,,,,,1,,0.5,,,,,,,,,
-8,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,
-9,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,
-10,,,,,,,,,,,,,,,,,,,,,0.5,,1,,,,,,
-11,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
-12,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
-13,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,
-14,,,,,,,,,,,,,,,,,,,,,,,,,9,,2.5,,
-15,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,3,
-16,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1.5
-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,
