airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
BOS,A,Terminal A,,,-1,A-DL Check and Go Parking Garage,DL Check & Go Parking Garage,28,42.366630929715946; -71.0204215173803,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-2,A-DL Break Room Pre-security,DL Break Room Presecurity,27,42.364861726720136; -71.02181614630271,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-3,A-DL Tix Counter,Delta Tix Counter,32,42.364861726720136; -71.02181614630271,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-4,A-TSA Presecurity,TSA Presecurity,36,42.364861726720136; -71.02181614630271,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-5,A-TSA Post-security,TSA Post-Security,35,42.36455658705054; -71.02197981701609,N,Y,50,N,N,0
BOS,A,Terminal A,,,6,A6,Gate 6,6,42.36455658705054; -71.02197981701609,N,Y,50,N,N,0
BOS,A,Terminal A,,,5,A5,Gate 5,5,42.36454859603443; -71.02198712280276,N,Y,50,N,N,0
BOS,A,Terminal A,,,4,A4,Gate 4,4,42.36454859603443; -71.02198712280276,N,Y,50,N,N,0
BOS,A,Terminal A,,,3,A3,Gate 3,3,42.36454859603443; -71.02198712280276,N,Y,50,N,N,0
BOS,A,Terminal A,,,2,A2,Gate 2,2,42.36454859603443; -71.02198712280276,N,Y,50,N,N,0
BOS,A,Terminal A,,,1,A1,Gate 1,1,42.36454859603443; -71.02198712280276,Y,Y,50,N,N,0
BOS,A,Terminal A,,,-6,A7-A11-Delta Sky Club,A7-A11 DL Sky Club,29,42.36454859603443; -71.02198712280276,N,Y,50,N,N,0
BOS,A,Terminal A,,,-7,A-TSA Break Room Post-security,TSA Break Room Post-Security,34,42.36454859603443; -71.02198712280276,N,Y,50,N,N,0
BOS,A,Terminal A,,,7,A7,Gate 7,7,42.36454859603443; -71.02198712280276,N,Y,50,N,N,0
BOS,A,Terminal A,,,8,A8,Gate 8,8,42.36454772617451; -71.0219879180722,N,Y,50,N,N,0
BOS,A,Terminal A,,,9,A9,Gate 9,9,42.36454772617451; -71.0219879180722,N,Y,50,N,N,0
BOS,A,Terminal A,,,10,A10,Gate 10,10,42.36454772617451; -71.0219879180722,N,Y,50,N,N,0
BOS,A,Terminal A,,,11,A11,Gate 11,11,42.36454772617451; -71.0219879180722,N,Y,50,N,N,0
BOS,A,Terminal A,,,-8,A19-A22-Delta Sky Club,A19-A22 DL Sky Club,30,42.36315620523085; -71.02491899802564,N,Y,50,N,N,0
BOS,A,Terminal A,,,-9,A18-KidPort,A18 KidPort,33,42.36315620523085; -71.02491899802564,N,Y,50,N,N,0
BOS,A,Terminal A,,,18,A18,Gate 18,17,42.36315620523085; -71.02491899802564,N,Y,50,N,N,0
BOS,A,Terminal A,,,19,A19,Gate 19,18,42.36315620523085; -71.02491899802564,N,Y,50,N,N,0
BOS,A,Terminal A,,,20,A20,Gate 20,19,42.36315620523085; -71.02491899802564,N,Y,50,N,N,0
BOS,A,Terminal A,,,21,A21,Gate 21,20,42.36315620523085; -71.02491899802564,N,Y,50,N,N,0
BOS,A,Terminal A,,,22,A22,Gate 22,21,42.36315620523085; -71.02491899802564,N,Y,50,N,N,0
BOS,A,Terminal A,,,17,A17,Gate 17,16,42.36311329475896; -71.02500938394496,N,Y,50,N,N,0
BOS,A,Terminal A,,,16,A16,Gate 16,15,42.36311329475896; -71.02500938394496,N,Y,50,N,N,0
BOS,A,Terminal A,,,15,A15,Gate 15,14,42.36311329475896; -71.02500938394496,N,Y,50,N,N,0
BOS,A,Terminal A,,,14,A14,Gate 14,13,42.36311329475896; -71.02500938394496,N,Y,50,N,N,0
BOS,A,Terminal A,,,13,A13,Gate 13,12,42.36311329475896; -71.02500938394496,N,Y,50,N,N,0
BOS,A,Terminal A,,,-10,A-Carousel 1,Carousel 1,22,42.36492855889649; -71.0216249667697,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-11,A-Carousel 2,Carousel 2,23,42.36492556843004; -71.02163054224374,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-12,A-Carousel 3,Carousel 3,24,42.36491926820275; -71.02164228849153,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-13,A-Carousel 4,Carousel 4,25,42.36491926820275; -71.02164228849153,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-14,A-DL Bag Claim Services,DL Bag Claim Services,26,42.36491926820275; -71.02164228849153,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-15,A-WestJet Tix Counter,WestJet Tix Counter,37,42.36491926820275; -71.02164228849153,N,Y,50,Y,N,0
BOS,A,Terminal A,,,-16,A-DL Sky Priority Tix Counter,DL Sky Priority Tix Counter,31,42.36491926820275; -71.02164228849153,N,Y,50,Y,N,0
BOS,B,Terminal B,,,-1,B-AC Tix Counter,AC Tix Counter,42,42.36119609342945; -71.02818039387742,N,Y,50,Y,N,0
BOS,B,Terminal B,,,-2,B-AA Executive Offices,AA Exec Offices,46,42.36119609342945; -71.02818039387742,N,Y,50,Y,N,0
BOS,B,Terminal B,,,-3,B-AAL Tix Counter,AAL Tix Counter,48,42.36119609342945; -71.02818039387742,N,Y,50,Y,N,0
