,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42
-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5,,,,2,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6,,,,,36,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,,,,,,14.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9,,,,,,,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15,,,,,,,,,,,,,,0.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-16,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
-17,,,,,,,,,,,,,,,,3,,18.5,,,,,,,,,,,,,,,,,,,,,,,,
-18,,,,,,,,,,,,,,,,,18.5,,19,,,,,,,,,,,,,,,,,,,,,,,
-19,,,,,,,,,,,,,,,,,,19,,4.5,,,,,,,,,,,,,,,,,,,,,,
-20,,,,,,,,,,,,,,,,,,,4.5,,14,,,,,,,,,,,,,,,,,,,,,
-21,,,,,,,,,,,,,,,,,,,,14,,2,,,,,,,,,,,,,,,,,,,,
-22,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,
-23,,,,,,,,,,,,,,,,,,,,,,1,,0.5,,,,,,,,,,,,,,,,,,
-24,,,,,,,,,,,,,,,,,,,,,,,0.5,,2.5,,,,,,,,,,,,,,,,,
-25,,,,,,,,,,,,,,,,,,,,,,,,2.5,,8,,,,,,,,,,,,,,,,
-26,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,
-27,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.5,,,,,,,,,,,,,,
-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2,,,,,,,,,,,,,
-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0.5,,,,,,,,,,,,
-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3.5,,,,,,,,,,,
-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,6.5,,,,,,,,,,
-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,9,,,,,,,,,
-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,4,,,,,,,,
-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,
-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7.5,,,,,,
-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,3.5,,,,,
-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,3.5,,,,
-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,0.5,,,
-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,4,,
-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,
-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10.5
-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,
