airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
DEN,A,Concourse A,,,26,A26,Gate A26,1,39.85391566749836; -104.67513770088324,Y,Y,50,N,N,0
DEN,A,Concourse A,,,27,A27,Gate A27,2,39.85391566749836; -104.67513770088324,N,Y,50,N,N,0
DEN,A,Concourse A,,,28,A28,Gate A28,3,39.85391566749836; -104.67513770088324,N,Y,50,N,N,0
DEN,A,Concourse A,,,29,A29,Gate A29,4,39.85391566749836; -104.67513770088324,N,Y,50,N,N,0
DEN,A,Concourse A,,,30,A30,Gate A30,5,39.8538703534439; -104.67717973274544,N,Y,50,N,N,0
DEN,A,Concourse A,,,31,A31,Gate A31,6,39.8538703534439; -104.67717973274544,N,Y,50,N,N,0
DEN,A,Concourse A,,,32,A32,Gate A32,7,39.8538703534439; -104.67717973274544,N,Y,50,N,N,0
DEN,A,Concourse A,,,34,A34,Gate A34,9,39.8538703534439; -104.67717973274544,N,Y,50,N,N,0
DEN,A,Concourse A,,,-7,A34-Training Rooms,Training Rooms (A34),52,39.853714; -104.675766,N,Y,50,N,N,0
DEN,A,Concourse A,,,33,A33,Gate A33,8,39.8538703534439; -104.67717973274544,N,Y,50,N,N,0
DEN,A,Concourse A,,,35,A35,Gate A35,10,39.8538703534439; -104.67717973274544,N,Y,50,N,N,0
DEN,A,Concourse A,,,36,A36,Gate A36,11,39.8538703534439; -104.67717973274544,N,Y,50,N,N,0
DEN,A,Concourse A,,,-2,A-Frontier Service,Frontier Service,47,39.85390994682293; -104.67514700504526,N,Y,50,N,N,0
DEN,A,Concourse A,,,-8,A-Room 2338,Room 2338,53,39.853724; -104.675198,N,Y,50,N,N,0
DEN,A,Concourse A,,,37,A37,Gate A37,12,39.85390994682293; -104.67514700504526,N,Y,50,N,N,0
DEN,A,Concourse A,,,38,A38,Gate A38,13,39.85390994682293; -104.67514700504526,N,Y,50,N,N,0
DEN,A,Concourse A,,,39,A39,Gate A39,14,39.85390994682293; -104.67514700504526,N,Y,50,N,N,0
DEN,A,Concourse A,,,-3,A-Info Desk,Info Desk,48,39.85390994682293; -104.67514700504526,N,Y,50,N,N,0
DEN,A,Concourse A,,,-5,A-Center Core,Center Core,50,39.85390994682293; -104.67514700504526,N,N,50,N,N,0
DEN,A,Concourse A,,,-4,A-Train Platform,Train Platform,49,39.85390994682293; -104.67514700504526,N,Y,50,N,N,0
DEN,A,Concourse A,,,40,A40,Gate A40,15,39.85390994682293; -104.67514700504526,N,Y,50,N,N,0
DEN,A,Concourse A,,,411,A41a,Gate A41a,16,39.85390994682293; -104.67514700504526,N,Y,50,N,N,0
DEN,A,Concourse A,,,412,A41b,Gate A41b,17,39.85390994682293; -104.67514700504526,N,Y,50,N,N,0
DEN,A,Concourse A,,,42,A42,Gate A42,18,39.853945581378; -104.67254204738018,N,Y,50,N,N,0
DEN,A,Concourse A,,,43,A43,Gate A43,19,39.853945581378; -104.67254204738018,N,Y,50,N,N,0
DEN,A,Concourse A,,,44,A44,Gate A44,20,39.853945581378; -104.67254204738018,N,Y,50,N,N,0
DEN,A,Concourse A,,,45,A45,Gate A45,21,39.85394633298466; -104.67264983569717,N,Y,50,N,N,0
DEN,A,Concourse A,,,46,A46,Gate A46,22,39.85394633298466; -104.67264983569717,N,Y,50,N,N,0
DEN,A,Concourse A,,,-6,A46-Badging Office,Badging Office (A46),51,39.853686; -104.671901,N,Y,50,N,N,0
DEN,A,Concourse A,,,47,A47,Gate A47,23,39.85394633298466; -104.67264983569717,N,Y,50,N,N,0
DEN,A,Concourse A,,,48,A48,Gate A48,24,39.85394633298466; -104.67264983569717,N,Y,50,N,N,0
DEN,A,Concourse A,,,49,A49,Gate A49,25,39.85394633298466; -104.67264983569717,N,Y,50,N,N,0
DEN,A,Concourse A,,,50,A50,Gate A50,26,39.853945581378; -104.67254204738018,N,Y,50,N,N,0
DEN,A,Concourse A,,,51,A51,Gate A51,27,39.853945581378; -104.67254204738018,N,Y,50,N,N,0
DEN,A,Concourse A,,,52,A52,Gate A52,28,39.853945581378; -104.67254204738018,N,Y,50,N,N,0
DEN,A,Concourse A,,,53,A53,Gate A53,29,39.853945581378; -104.67254204738018,N,Y,50,N,N,0
DEN,A,Concourse A,,,54,A54,Gate A54,30,39.853945581378; -104.67254204738018,N,Y,50,N,N,0
DEN,A,Concourse A,,,60,A60,Gate A60,31,39.853501079934105; -104.66968909843544,N,Y,50,N,N,0
DEN,A,Concourse A,,,61,A61,Gate A61,32,39.853501079934105; -104.66968909843544,N,Y,50,N,N,0
DEN,A,Concourse A,,,62,A62,Gate A62,33,39.853501079934105; -104.66968909843544,N,Y,50,N,N,0
DEN,A,Concourse A,,,63,A63,Gate A63,34,39.853501079934105; -104.66968909843544,N,Y,50,N,N,0
DEN,A,Concourse A,,,64,A64,Gate A64,35,39.853501079934105; -104.66968909843544,N,Y,50,N,N,0
DEN,A,Concourse A,,,65,A65,Gate A65,36,39.853501079934105; -104.66968909843544,N,Y,50,N,N,0
DEN,A,Concourse A,,,71,A71,Gate A71,37,39.85376947753517; -104.66975951526148,N,Y,50,N,N,0
DEN,A,Concourse A,,,73,A73,Gate A73,38,39.857795053915616; -104.64918532759084,N,Y,50,N,N,0
DEN,A,Concourse A,,,75,A75,Gate A75,39,39.857795053915616; -104.64918532759084,N,Y,50,N,N,0
DEN,A,Concourse A,,,77,A77,Gate A77,40,39.857928824271085; -104.64752915855865,N,Y,50,N,N,0
DEN,A,Concourse A,,,79,A79,Gate A79,41,39.857928824271085; -104.64752915855865,N,Y,50,N,N,0
DEN,A,Concourse A,,,81,A81,Gate A81,42,39.85780471659753; -104.64878636622034,N,Y,50,N,N,0
DEN,A,Concourse A,,,78,A78,Gate A78,43,39.85433714551215; -104.66800811047887,N,Y,50,N,N,0
DEN,A,Concourse A,,,83,A83,Gate A83,44,39.85433714551215; -104.66800811047887,N,Y,50,N,N,0
DEN,A,Concourse A,,,85,A85,Gate A85,45,39.85433714551215; -104.66800811047887,N,Y,50,N,N,0
DEN,A,Concourse A,,,87,A87,Gate A87,46,39.85433714551215; -104.66800811047887,N,Y,50,N,N,0
DEN,B,Concourse B,,,16,B16,Gate B16,1,39.85874441178737; -104.6789172148912,N,Y,50,N,N,0
DEN,B,Concourse B,,,18,B18,Gate B18,2,39.85872549234891; -104.67883579916696,N,Y,50,N,N,0
DEN,B,Concourse B,,,-1,B-United Service,United Service,64,39.858764589758984; -104.67874814345763,N,Y,50,N,N,0
DEN,B,Concourse B,,,20,B20,Gate B20,3,39.85883716288506; -104.67864242760274,N,Y,50,N,N,0
DEN,B,Concourse B,,,22,B22,Gate B22,4,39.85883716288506; -104.67864242760274,N,Y,50,N,N,0
DEN,B,Concourse B,,,24,B24,Gate B24,5,39.85870553342937; -104.6782900457046,N,Y,50,N,N,0
DEN,B,Concourse B,,,26,B26,Gate B26,6,39.85870553342937; -104.6782900457046,N,Y,50,N,N,0
DEN,B,Concourse B,,,27,B27,Gate B27,7,39.85873807200821; -104.67724792214622,N,Y,50,N,N,0
DEN,B,Concourse B,,,28,B28,Gate B28,8,39.85873807200821; -104.67724792214622,N,Y,50,N,N,0
DEN,B,Concourse B,,,31,B31,Gate B31,9,39.858694572025826; -104.67533830489164,N,Y,50,N,N,0
DEN,B,Concourse B,,,32,B32,Gate B32,10,39.858689743605034; -104.67542313270505,N,Y,50,N,N,0
DEN,B,Concourse B,,,33,B33,Gate B33,11,39.858669181109285; -104.67536415071906,N,Y,50,N,N,0
DEN,B,Concourse B,,,35,B35,Gate B35,12,39.85867203182895; -104.67545754733308,N,Y,50,N,N,0
DEN,B,Concourse B,,,36,B36,Gate B36,13,39.85867203182895; -104.67545754733308,N,Y,50,N,N,0
DEN,B,Concourse B,,,37,B37,Gate B37,14,39.85875156161863; -104.67449044252614,N,Y,50,N,N,0
DEN,B,Concourse B,,,-3,B-Center Core,Center Core,65,39.86499635145983; -104.69818487381832,N,N,50,N,N,0
DEN,B,Concourse B,,,-2,B-Train Platform,Train Platform,63,39.86499635145983; -104.69818487381832,N,Y,50,N,N,0
DEN,B,Concourse B,,,38,B38,Gate B38,15,39.858782946739005; -104.67271785894997,N,Y,50,N,N,0
DEN,B,Concourse B,,,39,B39,Gate B39,16,39.858782946739005; -104.67271785894997,N,Y,50,N,N,0
DEN,B,Concourse B,,,41,B41,Gate B41,17,39.858782946739005; -104.67271785894997,N,Y,50,N,N,0
DEN,B,Concourse B,,,42,B42,Gate B42,18,39.8697043439677; -104.66874116269406,N,Y,50,N,N,0
DEN,B,Concourse B,,,43,B43,Gate B43,19,39.85877193301836; -104.67196222952082,N,Y,50,N,N,0
DEN,B,Concourse B,,,44,B44,Gate B44,20,39.858708958060696; -104.67212577750149,N,Y,50,N,N,0
DEN,B,Concourse B,,,45,B45,Gate B45,21,39.85892096891698; -104.67115848648916,N,Y,50,N,N,0
DEN,B,Concourse B,,,46,B46,Gate B46,22,39.85872270519127; -104.67119162412145,N,Y,50,N,N,0
DEN,B,Concourse B,,,47,B47,Gate B47,23,39.858706858535655; -104.67040825813521,N,Y,50,N,N,0
DEN,B,Concourse B,,,48,B48,Gate B48,24,39.85877892889544; -104.6699186642072,N,Y,50,N,N,0
DEN,B,Concourse B,,,49,B49,Gate B49,25,39.85874026419964; -104.67023688981398,N,Y,50,N,N,0
DEN,B,Concourse B,,,50,B50,Gate B50,26,39.85873523487577; -104.67026303911804,N,Y,50,N,N,0
DEN,B,Concourse B,,,51,B51,Gate B51,27,39.869689005605174; -104.66730078129386,N,Y,50,N,N,0
DEN,B,Concourse B,,,52,B52,Gate B52,28,39.86621728905809; -104.69066283418292,N,Y,50,N,N,0
DEN,B,Concourse B,,,53,B53,Gate B53,29,39.86397967488393; -104.65559556551327,N,Y,50,N,N,0
DEN,B,Concourse B,,,54,B54,Gate B54,30,39.85886271197714; -104.66938064220155,N,Y,50,N,N,0
DEN,B,Concourse B,,,55,B55,Gate B55,31,39.85886271197714; -104.66938064220155,N,Y,50,N,N,0
