itemCategoryName,itemSecondCategoryName,itemThirdCategoryName,itemPOSName,itemDisplayName,itemDisplayDescription,itemId,itemPrice,priceLevelId,isActive,uniqueRetailerId,uniqueId,itemImageURL,itemTags,itemDisplaySequence,taxCategory,allowedThruSecurity,version
Coffee,,,Coffee,Coffee,Regular & Decaf,1,295,99,Y,unique_retailer_id,den_dcm_a_item_1,,Drink,1,,N,
Coffee,,,Cold Brew,Cold Brew,,2,395,99,Y,unique_retailer_id,den_dcm_a_item_2,,Drink,2,,N,
Coffee,,,Café Au Lait,Café Au Lait,,3,360,99,Y,unique_retailer_id,den_dcm_a_item_3,,Drink,3,,N,
Espresso,,,Espresso,Espresso,,4,295,99,Y,unique_retailer_id,den_dcm_a_item_4,,Drink,1,,N,
Espresso,,,Cappuccino,Cappuccino,,5,395,99,Y,unique_retailer_id,den_dcm_a_item_5,,Drink,2,,N,
Espresso,,,Americano,Americano,,6,325,99,Y,unique_retailer_id,den_dcm_a_item_6,,Drink,3,,N,
Espresso,,,Latte,Latte,,7,435,99,Y,unique_retailer_id,den_dcm_a_item_7,,Drink,4,,N,
Tea & Specialty,,,Hot Tea,Hot Tea,,8,299,99,N,unique_retailer_id,den_dcm_a_item_8,,Drink,1,,N,
Tea & Specialty,,,Iced Tea,Iced Tea,,9,299,99,N,unique_retailer_id,den_dcm_a_item_9,,Drink,2,,N,
Tea & Specialty,,,Chai Latte,Chai Latte,,10,435,99,N,unique_retailer_id,den_dcm_a_item_10,,Drink,3,,N,
Tea & Specialty,,,Hot Chocolate,Hot Chocolate,,11,350,99,N,unique_retailer_id,den_dcm_a_item_11,,Drink,4,,N,
Baked Goods,,,Muffin,Muffin,,12,350,99,N,unique_retailer_id,den_dcm_a_item_12,,,1,,Y,
Baked Goods,,,Scone,Scone,,13,375,99,N,unique_retailer_id,den_dcm_a_item_13,,,2,,Y,
Baked Goods,,,Croissant,Croissant,,14,425,99,N,unique_retailer_id,den_dcm_a_item_14,,,3,,Y,
Culture Meat & Cheese,,,Breakfast Sandwich,Breakfast Sandwich,"Two free range scrambled eggs, cheddar cheese, roasted tomatoes, and arugula. Choice of breakfast sausage or black forest ham",15,1025,99,Y,unique_retailer_id,den_dcm_a_item_15,,Sandwich,1,,Y,
Culture Meat & Cheese,,,Tomato Soup,Tomato Soup,,16,695,99,Y,unique_retailer_id,den_dcm_a_item_16,,Soup,2,,N,
Sandwiches,,,Caprese,Caprese,"Pesto, roasted tomatoes, mozzarella, and arugula",17,1195,99,Y,unique_retailer_id,den_dcm_a_item_17,,Sandwich,1,,Y,
Sandwiches,,,Grilled Cheese,Grilled Cheese,"Mozzarella, sharp cheddar, and grana padano",18,1095,99,Y,unique_retailer_id,den_dcm_a_item_18,,Sandwich,2,,Y,
Sandwiches,,,Smoked Turkey,Smoked Turkey,"Fig jam, smoked gouda, honey mustard, and arugula",19,1295,99,Y,unique_retailer_id,den_dcm_a_item_19,,Sandwich,3,,Y,
Sandwiches,,,Italian,Italian,"Pesto, provolone, finocchiona, proscuitto cotto, olive tapenade, and arugula",20,1295,99,Y,unique_retailer_id,den_dcm_a_item_20,,Sandwich,4,,Y,
Sandwiches,,,Beef Brisket,Beef Brisket,"Provolone, horseradish, giardineria, and arugula ",21,1295,99,Y,unique_retailer_id,den_dcm_a_item_21,,Sandwich,5,,Y,
Pizza by the Slice,,,Cheese,Al Trancio Classic,"Grand Padano, mozzarella blend, vero tomato sauce",22,799,99,Y,unique_retailer_id,den_dcm_a_item_22,,Pizza,1,,Y,
Pizza by the Slice,,,Pepperoni,Al Trancio Farcita,"cremini mushrooms, artichokes, castelvetrano olives, prosciutto cotto",23,799,99,Y,unique_retailer_id,den_dcm_a_item_23,,Pizza,2,,Y,
