uniqueRetailerItemId,dayOfWeek,restrictOrderTimes,prepRestrictTimesGroup1,prepTimeCategoryIdGroup1,prepRestrictTimesGroup2,prepTimeCategoryIdGroup2,prepRestrictTimesGroup3,prepTimeCategoryIdGroup3,isActive
den_dcm_a_item_24,1,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_24,2,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_24,3,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_24,4,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_24,5,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_24,6,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_24,7,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_25,1,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_25,2,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_25,3,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_25,4,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_25,5,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_25,6,9:00 AM - 10:30 AM,,,,,,,Y
den_dcm_a_item_25,7,9:00 AM - 10:30 AM,,,,,,,Y
