itemCategoryName,itemSecondCategoryName,itemThirdCategoryName,itemPOSName,itemDisplayName,itemDisplayDescription,itemId,itemPrice,priceLevelId,isActive,uniqueRetailerId,uniqueId,itemImageURL,itemTags,itemDisplaySequence,taxCategory,allowedThruSecurity,version
Coffee,,,Coffee,Coffee,Regular & Decaf,1,295,99,Y,unique_retailer_id,den_dcm_a_item_1,,drink,1,,N,
Coffee,,,Cold Brew,Cold Brew,,2,395,99,Y,unique_retailer_id,den_dcm_a_item_2,,drink,2,,N,
Coffee,,,Café Au Lait,Café Au Lait,,3,360,99,Y,unique_retailer_id,den_dcm_a_item_3,,drink,3,,N,
Espresso,,,Espresso,Espresso,,4,295,99,Y,unique_retailer_id,den_dcm_a_item_4,,drink,1,,N,
Espresso,,,Cappuccino,Cappuccino,,5,395,99,Y,unique_retailer_id,den_dcm_a_item_5,,drink,2,,N,
Espresso,,,Americano,Americano,,6,325,99,Y,unique_retailer_id,den_dcm_a_item_6,,drink,3,,N,
Espresso,,,Latte,Latte,,7,435,99,Y,unique_retailer_id,den_dcm_a_item_7,,drink,4,,N,
Tea & Specialty,,,Hot Tea,Hot Tea,,8,299,99,N,unique_retailer_id,den_dcm_a_item_8,,drink,1,,N,
Tea & Specialty,,,Iced Tea,Iced Tea,,9,299,99,N,unique_retailer_id,den_dcm_a_item_9,,drink,2,,N,
Tea & Specialty,,,Chai Latte,Chai Latte,,10,435,99,N,unique_retailer_id,den_dcm_a_item_10,,drink,3,,N,
Tea & Specialty,,,Hot Chocolate,Hot Chocolate,,11,350,99,N,unique_retailer_id,den_dcm_a_item_11,,drink,4,,N,
Baked Goods,,,Muffin,Muffin,,12,350,99,N,unique_retailer_id,den_dcm_a_item_12,,,1,,Y,
Baked Goods,,,Scone,Scone,,13,375,99,N,unique_retailer_id,den_dcm_a_item_13,,,2,,Y,
Baked Goods,,,Croissant,Croissant,,14,425,99,N,unique_retailer_id,den_dcm_a_item_14,,,3,,Y,
Culture Meat & Cheese,,,Breakfast Sandwich,Breakfast Sandwich,"Two free range scrambled eggs, cheddar cheese, roasted tomatoes, and arugula. Choice of breakfast sausage or black forest ham",15,1025,99,Y,unique_retailer_id,den_dcm_a_item_15,,sandwich,1,,Y,
Culture Meat & Cheese,,,Tomato Soup,Tomato Soup,,16,695,99,Y,unique_retailer_id,den_dcm_a_item_16,,souop,2,,N,
Sandwiches,,,Caprese,Caprese,"Pesto, roasted tomatoes, mozzarella, and arugula",17,1195,99,Y,unique_retailer_id,den_dcm_a_item_17,,sandwich,1,,Y,
Sandwiches,,,Grilled Cheese,Grilled Cheese,"Mozzarella, sharp cheddar, and grana padano",18,1095,99,Y,unique_retailer_id,den_dcm_a_item_18,,sandwich,2,,Y,
Sandwiches,,,Smoked Turkey,Smoked Turkey,"Fig jam, smoked gouda, honey mustard, and arugula",19,1295,99,Y,unique_retailer_id,den_dcm_a_item_19,,sandwich,3,,Y,
Sandwiches,,,Italian,Italian,"Pesto, provolone, finocchiona, proscuitto cotto, olive tapenade, and arugula",20,1295,99,Y,unique_retailer_id,den_dcm_a_item_20,,sandwich,4,,Y,
Sandwiches,,,Beef Brisket,Beef Brisket,"Provolone, horseradish, giardineria, and arugula ",21,1295,99,Y,unique_retailer_id,den_dcm_a_item_21,,sandwich,5,,Y,
Pizza by the Slice,,,Cheese,Cheese,"Grand Padano, mozzarella blend, vero tomato sauce",22,799,99,Y,unique_retailer_id,den_dcm_a_item_22,,pizza,1,,Y,
Pizza by the Slice,,,Pepperoni,Pepperoni,"Mozzarella cheese, basil tomato sauce and soppressata Italian dry salami",23,799,99,Y,unique_retailer_id,den_dcm_a_item_23,,pizza,2,,Y,
Breakfast,,,Breakfast Burrito,Breakfast Burrito,"Scrambled eggs, bacon, cheddar, salsa",24,895,99,Y,unique_retailer_id,den_dcm_a_item_24,,breakfast; burrito,2,,Y,
Breakfast,,,Breakfast Sandwich,Breakfast Sandwich,"Fried egg, bacon, cheddar, tomato, served on brioche bun",25,1025,99,Y,unique_retailer_id,den_dcm_a_item_25,,breakfast; sandwich,1,,Y,
