optionPOSName,optionDisplayName,optionDisplayDescription,optionId,pricePerUnit,priceLevelId,isActive,uniqueRetailerItemModifierId,uniqueId,optionDisplaySequence,version
Regular,Regular,,1,,1,Y,den_dcm_a_item_1_mod_1,den_dcm_a_item_1_mod_1_option_1,1,
Decaf,Decaf,,2,,1,Y,den_dcm_a_item_1_mod_1,den_dcm_a_item_1_mod_1_option_2,2,
Sugar,Sugar,,3,,1,Y,den_dcm_a_item_1_mod_2,den_dcm_a_item_1_mod_2_option_1,1,
Splenda,Splenda,,4,,1,Y,den_dcm_a_item_1_mod_2,den_dcm_a_item_1_mod_2_option_2,2,
Pure Vida,Pure Vida,,5,,1,Y,den_dcm_a_item_1_mod_2,den_dcm_a_item_1_mod_2_option_3,3,
Milk,Milk,,6,,1,Y,den_dcm_a_item_1_mod_2,den_dcm_a_item_1_mod_2_option_4,4,
Half and Half,Half and Half,,7,,1,Y,den_dcm_a_item_1_mod_2,den_dcm_a_item_1_mod_2_option_5,5,
Sugar,Sugar,,8,,1,Y,den_dcm_a_item_2_mod_1,den_dcm_a_item_2_mod_1_option_1,1,
Splenda,Splenda,,9,,1,Y,den_dcm_a_item_2_mod_1,den_dcm_a_item_2_mod_1_option_2,2,
Pure Vida,Pure Vida,,10,,1,Y,den_dcm_a_item_2_mod_1,den_dcm_a_item_2_mod_1_option_3,3,
Milk,Milk,,11,,1,Y,den_dcm_a_item_2_mod_1,den_dcm_a_item_2_mod_1_option_4,4,
Half and Half,Half and Half,,12,,1,Y,den_dcm_a_item_2_mod_1,den_dcm_a_item_2_mod_1_option_5,5,
Sugar,Sugar,,13,,1,Y,den_dcm_a_item_3_mod_1,den_dcm_a_item_3_mod_1_option_1,1,
Splenda,Splenda,,14,,1,Y,den_dcm_a_item_3_mod_1,den_dcm_a_item_3_mod_1_option_2,2,
Pure Vida,Pure Vida,,15,,1,Y,den_dcm_a_item_3_mod_1,den_dcm_a_item_3_mod_1_option_3,3,
Milk,Milk,,16,,1,Y,den_dcm_a_item_3_mod_1,den_dcm_a_item_3_mod_1_option_4,4,
Half and Half,Half and Half,,17,,1,Y,den_dcm_a_item_3_mod_1,den_dcm_a_item_3_mod_1_option_5,5,
Sugar,Sugar,,18,,1,Y,den_dcm_a_item_4_mod_1,den_dcm_a_item_4_mod_1_option_1,1,
Splenda,Splenda,,19,,1,Y,den_dcm_a_item_4_mod_1,den_dcm_a_item_4_mod_1_option_2,2,
Pure Vida,Pure Vida,,20,,1,Y,den_dcm_a_item_4_mod_1,den_dcm_a_item_4_mod_1_option_3,3,
Milk,Milk,,21,,1,Y,den_dcm_a_item_4_mod_1,den_dcm_a_item_4_mod_1_option_4,4,
Half and Half,Half and Half,,22,,1,Y,den_dcm_a_item_4_mod_1,den_dcm_a_item_4_mod_1_option_5,5,
Sugar,Sugar,,23,,1,Y,den_dcm_a_item_5_mod_1,den_dcm_a_item_5_mod_1_option_1,1,
Splenda,Splenda,,24,,1,Y,den_dcm_a_item_5_mod_1,den_dcm_a_item_5_mod_1_option_2,2,
Pure Vida,Pure Vida,,25,,1,Y,den_dcm_a_item_5_mod_1,den_dcm_a_item_5_mod_1_option_3,3,
Milk,Milk,,26,,1,Y,den_dcm_a_item_5_mod_1,den_dcm_a_item_5_mod_1_option_4,4,
Half and Half,Half and Half,,27,,1,Y,den_dcm_a_item_5_mod_1,den_dcm_a_item_5_mod_1_option_5,5,
Sugar,Sugar,,28,,1,Y,den_dcm_a_item_6_mod_1,den_dcm_a_item_6_mod_1_option_1,1,
Splenda,Splenda,,29,,1,Y,den_dcm_a_item_6_mod_1,den_dcm_a_item_6_mod_1_option_2,2,
Pure Vida,Pure Vida,,30,,1,Y,den_dcm_a_item_6_mod_1,den_dcm_a_item_6_mod_1_option_3,3,
Milk,Milk,,31,,1,Y,den_dcm_a_item_6_mod_1,den_dcm_a_item_6_mod_1_option_4,4,
Half and Half,Half and Half,,32,,1,Y,den_dcm_a_item_6_mod_1,den_dcm_a_item_6_mod_1_option_5,5,
Sugar,Sugar,,33,,1,Y,den_dcm_a_item_7_mod_1,den_dcm_a_item_7_mod_1_option_1,1,
Splenda,Splenda,,34,,1,Y,den_dcm_a_item_7_mod_1,den_dcm_a_item_7_mod_1_option_2,2,
Pure Vida,Pure Vida,,35,,1,Y,den_dcm_a_item_7_mod_1,den_dcm_a_item_7_mod_1_option_3,3,
Milk,Milk,,36,,1,Y,den_dcm_a_item_7_mod_1,den_dcm_a_item_7_mod_1_option_4,4,
Half and Half,Half and Half,,37,,1,Y,den_dcm_a_item_7_mod_1,den_dcm_a_item_7_mod_1_option_5,5,
Breakfast Sausage,Breakfast Sausage,,38,,1,Y,den_dcm_a_item_15_mod_1,den_dcm_a_item_15_mod_1_option_1,1,
Black Forest Ham,Black Forest Ham,,39,,1,Y,den_dcm_a_item_15_mod_1,den_dcm_a_item_15_mod_1_option_2,2,
No Bacon,No Bacon,,40,,1,Y,den_dcm_a_item_24_mod_1,den_dcm_a_item_24_mod_1_option_1,1,
No Cheddar Cheese,No Cheddar Cheese,,41,,1,Y,den_dcm_a_item_24_mod_1,den_dcm_a_item_24_mod_1_option_2,2,
No Salsa,No Salsa,,42,,1,Y,den_dcm_a_item_24_mod_1,den_dcm_a_item_24_mod_1_option_3,3,
No Bacon,No Bacon,,43,,1,Y,den_dcm_a_item_25_mod_1,den_dcm_a_item_25_mod_1_option_1,1,
No Cheddar Cheese,No Cheddar Cheese,,44,,1,Y,den_dcm_a_item_25_mod_1,den_dcm_a_item_25_mod_1_option_2,2,
No Tomato,No Tomato,,45,,1,Y,den_dcm_a_item_25_mod_1,den_dcm_a_item_25_mod_1_option_3,3,
Add Mayonnaise,Add Mayonnaise,,46,,1,Y,den_dcm_a_item_25_mod_1,den_dcm_a_item_25_mod_1_option_4,4,
Add Ketchup,Add Ketchup,,47,,1,Y,den_dcm_a_item_25_mod_1,den_dcm_a_item_25_mod_1_option_5,5,
