itemCategoryName,itemSecondCategoryName,itemThirdCategoryName,itemPOSName,itemDisplayName,itemDisplayDescription,itemId,itemPrice,priceLevelId,isActive,uniqueRetailerId,uniqueId,itemImageURL,itemTags,itemDisplaySequence,taxCategory,allowedThruSecurity,version
Bagels,,,Asiago Bagel,Asiago Bagel,,1,109,99,Y,unique_retailer_id,den_einstein_c_item_1,,bagel,1,,Y,
Bagels,,,Blueberry Bagel,Blueberry Bagel,,2,109,99,Y,unique_retailer_id,den_einstein_c_item_2,,bagel,2,,Y,
Bagels,,,Chocolate Chip Bagel,Chocolate Chip Bagel,,3,109,99,Y,unique_retailer_id,den_einstein_c_item_3,,bagel,3,,Y,
Bagels,,,Cinnamon Raisin Bagel,Cinnamon Raisin Bagel,,4,109,99,Y,unique_retailer_id,den_einstein_c_item_4,,bagel,4,,Y,
Bagels,,,Cinnamon Sugar Bagel,Cinnamon Sugar Bagel,,5,109,99,Y,unique_retailer_id,den_einstein_c_item_5,,bagel,5,,Y,
Bagels,,,Everything Bagel,Everything Bagel,,6,109,99,Y,unique_retailer_id,den_einstein_c_item_6,,bagel,6,,Y,
Bagels,,,Honey Whole Wheat Bagel,Honey Whole Wheat Bagel,,7,109,99,Y,unique_retailer_id,den_einstein_c_item_7,,bagel,7,,Y,
Bagels,,,Plain Bagel,Plain Bagel,,8,109,99,Y,unique_retailer_id,den_einstein_c_item_8,,bagel,8,,Y,
Bagels,,,Sesame Seed Bagel,Sesame Seed Bagel,,9,109,99,Y,unique_retailer_id,den_einstein_c_item_9,,bagel,9,,Y,
Bagels,,,Cheesy Hash Brown Bagel,Cheesy Hash Brown Bagel,,10,269,99,Y,unique_retailer_id,den_einstein_c_item_10,,bagel,10,,Y,
Bagels,,,Six Cheese,Six Cheese,,11,109,99,Y,unique_retailer_id,den_einstein_c_item_11,,bagel,11,,Y,
Classic Egg,,,Bacon & Cheddar,Bacon & Cheddar,Bacon and cheddar sandwich served on a plain bagel with your choice of one or two eggs,12,521,99,Y,unique_retailer_id,den_einstein_c_item_12,,breakfast,1,,Y,
Classic Egg,,,Turkey-Sausage & Cheddar,Turkey-Sausage & Cheddar,Turkey sausage and cheddar sandwich. Served on a plain bagel with the option of one or two eggs,13,714,99,Y,unique_retailer_id,den_einstein_c_item_13,,breakfast,2,,Y,
Classic Egg,,,Ham & Swiss,Ham & Swiss,Ham and swiss sandwich served on a plain bagel with your choice of one or two eggs,14,729,99,Y,unique_retailer_id,den_einstein_c_item_14,,breakfast,3,,Y,
Classic Egg,,,Cheddar Cheese,Cheddar Cheese,Cheddar cheese sandwich served on a plain bagel with your choice of one or two eggs,15,678,99,Y,unique_retailer_id,den_einstein_c_item_15,,breakfast,4,,Y,
Signature Egg,,,Farmhouse,Farmhouse,"Egg, applewood bacon, smoked ham, cheddar cheese with Country Pepper Schmear on a Cheese Hash Brown bagel",16,639,99,Y,unique_retailer_id,den_einstein_c_item_16,,breakfast,1,,Y,
Signature Egg,,,Big Breakfast Burrito,Big Breakfast Burrito,"Bacon, turkey sausage, shredded cheese, green chiles, hash browns,salsa, plain shmear in a flour tortilla",17,789,99,Y,unique_retailer_id,den_einstein_c_item_17,,breakfast,2,,Y,
Signature Egg,,,Crispy Chicken & Tator,Crispy Chicken & Tator,"Eggs, crispy chicken breast,cheddar cheese with country pepper shmear on a cheesy hash brown bagel",18,659,99,Y,unique_retailer_id,den_einstein_c_item_18,,breakfast,3,,Y,
Signature Egg,,,"Spinach, Mushroom & Swiss","Spinach, Mushroom & Swiss","Eggs, swiss sauteed spinach and mushroom on a honey whole wheat bagel",19,575,99,Y,unique_retailer_id,den_einstein_c_item_19,,breakfast,4,,Y,
Egg Whites,,,Santa Fe,Santa Fe,"Egg whites, turkey-sausage, pepper jack cheese with salsa and jalapeno salsa shmear on a asiago thintastic bagel",20,675,99,Y,unique_retailer_id,den_einstein_c_item_20,,breakfast,1,,Y,
Egg Whites,,,"Bacon, Avocado & Tomato","Bacon, Avocado & Tomato","Egg whites, bacon, avocado, tomato with roasted tomato spread on a plain thintastic bagel",21,749,99,Y,unique_retailer_id,den_einstein_c_item_21,,breakfast,2,,Y,
Signature Sandwiches,,,Nova Lox,Nova Lox,"Nova lox, red onion, capers, and tomato with plain shmear on a plain bagel",22,769,99,Y,unique_retailer_id,den_einstein_c_item_22,,breakfast,1,,Y,
Signature Sandwiches,,,Tasty Turkey,Tasty Turkey,"Roasted turkey, spinach, cucumber, lettuce, tomato and onion & chive shmear on an asiago bagel",23,789,99,Y,unique_retailer_id,den_einstein_c_item_23,,entree,2,,Y,
Signature Sandwiches,,,"Turkey, Bacon & Avocado","Turkey, Bacon & Avocado","Roasted turkey, applewood bacon, avocado, lettuce, tomato, and roasted tomato spread on a ciabatta roll",24,819,99,Y,unique_retailer_id,den_einstein_c_item_24,,entree,3,,Y,
Signature Sandwiches,,,Hummus Veg Out,Hummus Veg Out,"Tomato, red onion, spinach, lettuce, cucumber with graden veggie shmear on a honey whole wheat bagel",25,739,99,Y,unique_retailer_id,den_einstein_c_item_25,,entree,4,,Y,
Signature Sandwiches,,,California Turkey Club Wrap,California Turkey Club Wrap,"Roasted turkey, bacon, avocado, tomato, cucumber, red onion, spinach, roasted tomato spread, garlic & herb shmear in a flour tortilla",26,849,99,Y,unique_retailer_id,den_einstein_c_item_26,,entree,5,,Y,
Deli Selects,,,Turkey & Cheddar,Turkey & Cheddar,"Served on a choice of Bagel, Toasted Ciabatta or Flour Tortilla",27,669,99,Y,unique_retailer_id,den_einstein_c_item_27,,entree,1,,Y,
Deli Selects,,,Ham & Swiss,Ham & Swiss,"Served on a choice of Bagel, Toasted Ciabatta or Flour Tortilla",28,669,99,Y,unique_retailer_id,den_einstein_c_item_28,,entree,2,,Y,
Deli Selects,,,Albacore Tuna Salad,Albacore Tuna Salad,"Served on a choice of Bagel, Toasted Ciabatta or Flour Tortilla",29,735,99,Y,unique_retailer_id,den_einstein_c_item_29,,entree,3,,Y,
Deli Selects,,,Chicken Salad,Chicken Salad,"Served on a choice of Bagel, Toasted Ciabatta or Flour Tortilla",30,735,99,Y,unique_retailer_id,den_einstein_c_item_30,,entree,4,,Y,
Toasted Gourmet,,,Albuquerque Turkey,Albuquerque Turkey,"Roasted turkey, bacon, pepper jack cheese, lettuce, tomato, green chiles, plain shmear on a six cheese gourmet bagel",31,839,99,Y,unique_retailer_id,den_einstein_c_item_31,,entree,1,,Y,
Toasted Ciabatta,,,Pepperoni Chicken,Pepperoni Chicken,"Grilled chicken breast, pepperoni, swiss & asiago cheese, red onion, spinach, roasted tomato spread on toasted ciabatta",32,839,99,Y,unique_retailer_id,den_einstein_c_item_32,,entree,1,,Y,
Toasted Ciabatta,,,Buffalo Chicken & Bacon,Buffalo Chicken & Bacon,"Grilled chicken breast, bacon, cheddar, buffalo wing sauce, ranch, red onion on toasted ciabatta",33,735,99,Y,unique_retailer_id,den_einstein_c_item_33,,entree,2,,Y,
Toasted Ciabatta,,,Roasted Veggie,Roasted Veggie,"Swiss, sauteed mushrooms & spinach, tomato, red onion, garlic & herb shmear on toasted ciabatta",34,735,99,Y,unique_retailer_id,den_einstein_c_item_34,,entree,3,,Y,
Pizza Bagels,,,Cheese Pizza Bagel,Cheese Pizza Bagel,Pizza bagel served on a plain bagel. Cheese and pepperoni available,35,629,99,Y,unique_retailer_id,den_einstein_c_item_35,,snack,1,,Y,
Pizza Bagels,,,Pepperoni Pizza Bagel,Pepperoni Pizza Bagel,Pizza bagel served on a plain bagel. Cheese and pepperoni available,36,659,99,Y,unique_retailer_id,den_einstein_c_item_36,,snack,2,,Y,
Avocado Toast,,,Avocado Toast,Avocado Toast,Smashed avocado with salt and pepper toasted on a plain bagel,37,415,99,Y,unique_retailer_id,den_einstein_c_item_37,,entree,1,,Y,
