modifierPOSName,modifierDisplayName,modifierDisplayDescription,modifierId,maxQuantity,minQuantity,isRequired,isActive,uniqueRetailerItemId,uniqueId,modifierDisplaySequence,version
Double-Whipped Shmear,Double-Whipped Shmear,,1,0,0,N,Y,den_einstein_c_item_1,den_einstein_c_item_1_mod_1,1,
Toppings,Toppings,,2,0,0,N,Y,den_einstein_c_item_1,den_einstein_c_item_1_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,3,0,0,N,Y,den_einstein_c_item_2,den_einstein_c_item_2_mod_1,1,
Toppings,Toppings,,4,0,0,N,Y,den_einstein_c_item_2,den_einstein_c_item_2_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,5,0,0,N,Y,den_einstein_c_item_3,den_einstein_c_item_3_mod_1,1,
Toppings,Toppings,,6,0,0,N,Y,den_einstein_c_item_3,den_einstein_c_item_3_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,7,0,0,N,Y,den_einstein_c_item_4,den_einstein_c_item_4_mod_1,1,
Toppings,Toppings,,8,0,0,N,Y,den_einstein_c_item_4,den_einstein_c_item_4_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,9,0,0,N,Y,den_einstein_c_item_5,den_einstein_c_item_5_mod_1,1,
Toppings,Toppings,,10,0,0,N,Y,den_einstein_c_item_5,den_einstein_c_item_5_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,11,0,0,N,Y,den_einstein_c_item_6,den_einstein_c_item_6_mod_1,1,
Toppings,Toppings,,12,0,0,N,Y,den_einstein_c_item_6,den_einstein_c_item_6_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,13,0,0,N,Y,den_einstein_c_item_7,den_einstein_c_item_7_mod_1,1,
Toppings,Toppings,,14,0,0,N,Y,den_einstein_c_item_7,den_einstein_c_item_7_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,15,0,0,N,Y,den_einstein_c_item_8,den_einstein_c_item_8_mod_1,1,
Toppings,Toppings,,16,0,0,N,Y,den_einstein_c_item_8,den_einstein_c_item_8_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,17,0,0,N,Y,den_einstein_c_item_9,den_einstein_c_item_9_mod_1,1,
Toppings,Toppings,,18,0,0,N,Y,den_einstein_c_item_9,den_einstein_c_item_9_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,19,0,0,N,Y,den_einstein_c_item_10,den_einstein_c_item_10_mod_1,1,
Toppings,Toppings,,20,0,0,N,Y,den_einstein_c_item_10,den_einstein_c_item_10_mod_2,2,
Double-Whipped Shmear,Double-Whipped Shmear,,21,0,0,N,Y,den_einstein_c_item_11,den_einstein_c_item_11_mod_1,1,
Toppings,Toppings,,22,0,0,N,Y,den_einstein_c_item_11,den_einstein_c_item_11_mod_2,2,
Egg,Egg ,,23,1,1,Y,Y,den_einstein_c_item_12,den_einstein_c_item_12_mod_1,1,
Customize It,Customize It,,24,1,1,Y,Y,den_einstein_c_item_12,den_einstein_c_item_12_mod_2,2,
Egg,Egg ,,25,1,1,Y,Y,den_einstein_c_item_13,den_einstein_c_item_13_mod_1,1,
Customize It,Customize It,,26,0,0,N,Y,den_einstein_c_item_13,den_einstein_c_item_13_mod_2,2,
Egg,Egg ,,27,1,1,Y,Y,den_einstein_c_item_14,den_einstein_c_item_14_mod_1,1,
Customize It,Customize It,,28,0,0,N,Y,den_einstein_c_item_14,den_einstein_c_item_14_mod_2,2,
Egg,Egg ,,29,1,1,Y,Y,den_einstein_c_item_15,den_einstein_c_item_15_mod_1,1,
Customize It,Customize It,,30,0,0,N,Y,den_einstein_c_item_15,den_einstein_c_item_15_mod_2,2,
