modifierPOSName,modifierDisplayName,modifierDisplayDescription,modifierId,maxQuantity,minQuantity,isRequired,isActive,uniqueRetailerItemId,uniqueId,modifierDisplaySequence,version
Toppings,Toppings,,1,2,0,N,Y,den_einstein_c_item_1,den_einstein_c_item_1_mod_1,1,
Toppings,Toppings,,2,2,0,N,Y,den_einstein_c_item_2,den_einstein_c_item_2_mod_1,1,
Toppings,Toppings,,3,2,0,N,Y,den_einstein_c_item_3,den_einstein_c_item_3_mod_1,1,
Toppings,Toppings,,4,2,0,N,Y,den_einstein_c_item_4,den_einstein_c_item_4_mod_1,1,
Toppings,Toppings,,5,2,0,N,Y,den_einstein_c_item_5,den_einstein_c_item_5_mod_1,1,
Toppings,Toppings,,6,2,0,N,Y,den_einstein_c_item_6,den_einstein_c_item_6_mod_1,1,
Toppings,Toppings,,7,2,0,N,Y,den_einstein_c_item_7,den_einstein_c_item_7_mod_1,1,
Toppings,Toppings,,8,2,0,N,Y,den_einstein_c_item_8,den_einstein_c_item_8_mod_1,1,
Toppings,Toppings,,9,2,0,N,Y,den_einstein_c_item_9,den_einstein_c_item_9_mod_1,1,
Toppings,Toppings,,10,2,0,N,Y,den_einstein_c_item_10,den_einstein_c_item_10_mod_1,1,
Toppings,Toppings,,11,2,0,N,Y,den_einstein_c_item_10,den_einstein_c_item_10_mod_2,2,
Toppings,Toppings,,12,2,0,N,Y,den_einstein_c_item_11,den_einstein_c_item_11_mod_1,1,
Toppings,Toppings,,13,2,0,N,Y,den_einstein_c_item_11,den_einstein_c_item_11_mod_2,2,
Bagel,Bagel,,14,1,1,Y,Y,den_einstein_c_item_12,den_einstein_c_item_12_mod_1,1,
Egg,Egg ,,15,1,1,Y,Y,den_einstein_c_item_12,den_einstein_c_item_12_mod_2,2,
Customize,Customize,,16,0,0,N,Y,den_einstein_c_item_12,den_einstein_c_item_12_mod_3,3,
Bagel,Bagel,,17,1,1,Y,Y,den_einstein_c_item_13,den_einstein_c_item_13_mod_1,1,
Egg,Egg ,,18,1,1,Y,Y,den_einstein_c_item_13,den_einstein_c_item_13_mod_2,2,
Customize,Customize,,19,0,0,N,Y,den_einstein_c_item_13,den_einstein_c_item_13_mod_3,3,
Bagel,Bagel,,20,1,1,Y,Y,den_einstein_c_item_14,den_einstein_c_item_14_mod_1,1,
Egg,Egg ,,21,1,1,Y,Y,den_einstein_c_item_14,den_einstein_c_item_14_mod_2,2,
