optionPOSName,optionDisplayName,optionDisplayDescription,optionId,pricePerUnit,priceLevelId,isActive,uniqueRetailerItemModifierId,uniqueId,optionDisplaySequence,version
Stuffed Pita,Stuffed Pita,,1,,1,Y,den_garbanzos_b_item_1_mod_1,den_garbanzos_b_item_1_mod_1_option_1,1,
Gyro,Gyro,,2,,1,Y,den_garbanzos_b_item_1_mod_1,den_garbanzos_b_item_1_mod_1_option_2,2,
Laffa (Wrap),Laffa (Wrap),,3,,1,Y,den_garbanzos_b_item_1_mod_1,den_garbanzos_b_item_1_mod_1_option_3,3,
Falafel,Falafel,,4,,1,Y,den_garbanzos_b_item_1_mod_2,den_garbanzos_b_item_1_mod_2_option_1,1,
Sirloin Steak,Sirloin Steak,,5,175,1,Y,den_garbanzos_b_item_1_mod_2,den_garbanzos_b_item_1_mod_2_option_2,2,
Chicken,Chicken,,6,125,1,Y,den_garbanzos_b_item_1_mod_2,den_garbanzos_b_item_1_mod_2_option_3,3,
Gyro,Gyro,,7,90,1,Y,den_garbanzos_b_item_1_mod_2,den_garbanzos_b_item_1_mod_2_option_4,4,
Portobello,Portobello,,8,50,1,Y,den_garbanzos_b_item_1_mod_2,den_garbanzos_b_item_1_mod_2_option_5,5,
Extra Chicken,Extra Chicken,,9,349,1,Y,den_garbanzos_b_item_1_mod_3,den_garbanzos_b_item_1_mod_3_option_1,1,
Extra Steak,Extra Steak,,10,349,1,Y,den_garbanzos_b_item_1_mod_3,den_garbanzos_b_item_1_mod_3_option_2,2,
Extra Gyro,Extra Gyro,,11,349,1,Y,den_garbanzos_b_item_1_mod_3,den_garbanzos_b_item_1_mod_3_option_3,3,
Extra Falafel,Extra Falafel,,12,349,1,Y,den_garbanzos_b_item_1_mod_3,den_garbanzos_b_item_1_mod_3_option_4,4,
Extra Portobello,Extra Portobello,,13,349,1,Y,den_garbanzos_b_item_1_mod_3,den_garbanzos_b_item_1_mod_3_option_5,5,
Romaine Lettuce,Romaine Lettuce,,14,,1,Y,den_garbanzos_b_item_1_mod_4,den_garbanzos_b_item_1_mod_4_option_1,1,
Tabbouleh Salad,Tabbouleh Salad,,15,,1,Y,den_garbanzos_b_item_1_mod_4,den_garbanzos_b_item_1_mod_4_option_2,2,
Red Onions,Red Onions,,16,,1,Y,den_garbanzos_b_item_1_mod_4,den_garbanzos_b_item_1_mod_4_option_3,3,
