modifierPOSName,modifierDisplayName,modifierDisplayDescription,modifierId,maxQuantity,minQuantity,isRequired,isActive,uniqueRetailerItemId,uniqueId,modifierDisplaySequence,version
Style,Style,,1,1,1,Y,Y,den_garbanzos_b_item_1,den_garbanzos_b_item_1_mod_1,1,
Protein,Protein,,2,1,1,Y,Y,den_garbanzos_b_item_1,den_garbanzos_b_item_1_mod_2,2,
Extra Protein,Extra Protein,,3,1,1,N,Y,den_garbanzos_b_item_1,den_garbanzos_b_item_1_mod_3,3,
Veggies,Veggies,,4,0,0,N,Y,den_garbanzos_b_item_1,den_garbanzos_b_item_1_mod_4,4,
Sauce,Sauce,,5,3,3,N,Y,den_garbanzos_b_item_1,den_garbanzos_b_item_1_mod_5,5,
Style,Style,,6,1,1,Y,Y,den_garbanzos_b_item_2,den_garbanzos_b_item_2_mod_1,1,
Protein,Protein,,7,1,1,Y,Y,den_garbanzos_b_item_2,den_garbanzos_b_item_2_mod_2,2,
Extra Protein,Extra Protein,,8,1,1,N,Y,den_garbanzos_b_item_2,den_garbanzos_b_item_2_mod_3,3,
Veggies,Veggies,,9,0,0,N,Y,den_garbanzos_b_item_2,den_garbanzos_b_item_2_mod_4,4,
Sauce,Sauce,,10,3,3,N,Y,den_garbanzos_b_item_2,den_garbanzos_b_item_2_mod_5,5,
Style,Style,,11,1,1,Y,Y,den_garbanzos_b_item_3,den_garbanzos_b_item_3_mod_1,1,
Protein,Protein,,12,1,1,Y,Y,den_garbanzos_b_item_3,den_garbanzos_b_item_3_mod_2,2,
Extra Protein,Extra Protein,,13,1,1,N,Y,den_garbanzos_b_item_3,den_garbanzos_b_item_3_mod_3,3,
Veggies,Veggies,,14,0,0,N,Y,den_garbanzos_b_item_3,den_garbanzos_b_item_3_mod_4,4,
Sauce,Sauce,,15,3,3,N,Y,den_garbanzos_b_item_3,den_garbanzos_b_item_3_mod_5,5,
Side,Side,,16,1,1,Y,Y,den_garbanzos_b_item_3,den_garbanzos_b_item_3_mod_6,6,
Drink,Drink,,17,1,1,Y,Y,den_garbanzos_b_item_3,den_garbanzos_b_item_3_mod_7,7,
Style,Style,,18,1,1,Y,Y,den_garbanzos_b_item_4,den_garbanzos_b_item_4_mod_1,1,
Protein,Protein,,19,1,1,Y,Y,den_garbanzos_b_item_4,den_garbanzos_b_item_4_mod_2,2,
Extra Protein,Extra Protein,,20,1,1,N,Y,den_garbanzos_b_item_4,den_garbanzos_b_item_4_mod_3,3,
Veggies,Veggies,,21,0,0,N,Y,den_garbanzos_b_item_4,den_garbanzos_b_item_4_mod_4,4,
Sauce,Sauce,,22,3,3,N,Y,den_garbanzos_b_item_4,den_garbanzos_b_item_4_mod_5,5,
Side,Side,,23,1,1,Y,Y,den_garbanzos_b_item_4,den_garbanzos_b_item_4_mod_6,6,
Drink,Drink,,24,1,1,Y,Y,den_garbanzos_b_item_4,den_garbanzos_b_item_4_mod_7,7,
Side Choice,Side Choice,,25,1,1,Y,Y,den_garbanzos_b_item_5,den_garbanzos_b_item_5_mod_1,1,
Drink Choice,Drink Choice,,26,1,1,Y,Y,den_garbanzos_b_item_6,den_garbanzos_b_item_6_mod_1,1,
