itemCategoryName,modifierDisplayName,modifierDisplayDescription,modifierId,maxQuantity,minQuantity,isRequired,isActive,uniqueRetailerItemId,uniqueId,modifierDisplaySequence,version
Customize,Customize,,,0,0,N,Y,den_mcdonalds_b_2_item_1,den_mcdonalds_b_2_item_1_mod_1,1,
Make It A Meal,Make It a Meal with a Hashbrown,,,0,0,N,Y,den_mcdonalds_b_2_item_1,den_mcdonalds_b_2_item_1_mod_2,2,
Customize,Customize,,,0,0,N,Y,den_mcdonalds_b_2_item_2,den_mcdonalds_b_2_item_2_mod_1,1,
Make It A Meal,Make It a Meal with a Hashbrown,,,0,0,N,Y,den_mcdonalds_b_2_item_2,den_mcdonalds_b_2_item_2_mod_2,2,
Customize,Customize,,,0,0,N,N,den_mcdonalds_b_2_item_3,den_mcdonalds_b_2_item_3_mod_1,1,
Combo,Make It a Meal with a Hashbrown,,,0,0,N,N,den_mcdonalds_b_2_item_3,den_mcdonalds_b_2_item_3_mod_2,2,
Customize,Customize,,,0,0,N,Y,den_mcdonalds_b_2_item_4,den_mcdonalds_b_2_item_4_mod_1,1,
Combo,Make It a Meal with a Hashbrown,,,0,0,N,Y,den_mcdonalds_b_2_item_4,den_mcdonalds_b_2_item_4_mod_2,2,
Mod,Customize,,,0,0,N,Y,den_mcdonalds_b_2_item_5,den_mcdonalds_b_2_item_5_mod_1,1,
Combo,Make It a Meal with a Hashbrown,,,0,0,N,Y,den_mcdonalds_b_2_item_5,den_mcdonalds_b_2_item_5_mod_2,2,
Mod,Customize,,,0,0,N,Y,den_mcdonalds_b_2_item_6,den_mcdonalds_b_2_item_6_mod_1,1,
Combo,Make It a Meal with a Hashbrown,,,0,0,N,Y,den_mcdonalds_b_2_item_6,den_mcdonalds_b_2_item_6_mod_2,2,
Mod,Customize,,,0,0,N,Y,den_mcdonalds_b_2_item_7,den_mcdonalds_b_2_item_7_mod_1,1,
Combo,Make It a Meal with a Hashbrown,,,0,0,N,Y,den_mcdonalds_b_2_item_7,den_mcdonalds_b_2_item_7_mod_2,2,
Mod,Customize,,,0,0,N,N,den_mcdonalds_b_2_item_8,den_mcdonalds_b_2_item_8_mod_1,1,
Combo,Make It a Meal with a Hashbrown,,,0,0,N,N,den_mcdonalds_b_2_item_8,den_mcdonalds_b_2_item_8_mod_2,2,
Mod,Customize,,,0,0,N,N,den_mcdonalds_b_2_item_9,den_mcdonalds_b_2_item_9_mod_1,1,
Combo,Make It a Meal with a Hashbrown,,,0,0,N,N,den_mcdonalds_b_2_item_9,den_mcdonalds_b_2_item_9_mod_2,2,
Mod,Customize,,,0,0,N,N,den_mcdonalds_b_2_item_10,den_mcdonalds_b_2_item_10_mod_1,1,
Combo,Make It a Meal with a Hashbrown,,,0,0,N,N,den_mcdonalds_b_2_item_10,den_mcdonalds_b_2_item_10_mod_2,2,
Mod,Customize,,,0,0,N,Y,den_mcdonalds_b_2_item_11,den_mcdonalds_b_2_item_11_mod_1,1,
Mod,Customize,,,0,0,N,Y,den_mcdonalds_b_2_item_12,den_mcdonalds_b_2_item_12_mod_1,1,
Mod,Customize,,,0,0,N,Y,den_mcdonalds_b_2_item_13,den_mcdonalds_b_2_item_13_mod_1,1,
Mod,Customize,,,0,0,N,N,den_mcdonalds_b_2_item_14,den_mcdonalds_b_2_item_14_mod_1,1,
Choose Meal Size,Choose Meal Size,,1,1,1,Y,Y,den_mcdonalds_b_2_item_15,den_mcdonalds_b_2_item_15_mod_1,1,
Customize,Customize,,2,0,0,N,Y,den_mcdonalds_b_2_item_15,den_mcdonalds_b_2_item_15_mod_2,2,
Choose Drink,Choose Drink,,3,1,1,Y,Y,den_mcdonalds_b_2_item_15,den_mcdonalds_b_2_item_15_mod_3,3,
Sauce,Sauce,,4,0,0,N,Y,den_mcdonalds_b_2_item_15,den_mcdonalds_b_2_item_15_mod_4,4,
Choose Meal Size,Choose Meal Size,,5,1,1,Y,Y,den_mcdonalds_b_2_item_16,den_mcdonalds_b_2_item_16_mod_1,1,
Customize,Customize,,6,0,0,N,Y,den_mcdonalds_b_2_item_16,den_mcdonalds_b_2_item_16_mod_2,2,
Choose Drink,Choose Drink,,7,1,1,Y,Y,den_mcdonalds_b_2_item_16,den_mcdonalds_b_2_item_16_mod_3,3,
Sauce,Sauce,,8,0,0,N,Y,den_mcdonalds_b_2_item_16,den_mcdonalds_b_2_item_16_mod_4,4,
Choose Meal Size,Choose Meal Size,,9,1,1,Y,Y,den_mcdonalds_b_2_item_17,den_mcdonalds_b_2_item_17_mod_1,1,
Customize,Customize,,10,0,0,N,Y,den_mcdonalds_b_2_item_17,den_mcdonalds_b_2_item_17_mod_2,2,
