optionPOSName,optionDisplayName,optionDisplayDescription,optionId,pricePerUnit,priceLevelId,isActive,uniqueRetailerItemModifierId,uniqueId,optionDisplaySequence,version
No Bacon,No Bacon,,,,1,Y,den_mcdonalds_c_3_item_1_mod_1,den_mcdonalds_c_3_item_1_mod_1_option_1,1,
No Egg,No Folded Egg,,,,1,Y,den_mcdonalds_c_3_item_1_mod_1,den_mcdonalds_c_3_item_1_mod_1_option_2,2,
No Cheese,No Cheese,,,,1,Y,den_mcdonalds_c_3_item_1_mod_1,den_mcdonalds_c_3_item_1_mod_1_option_3,3,
No Biscuit,No Biscuit,,,,1,Y,den_mcdonalds_c_3_item_1_mod_1,den_mcdonalds_c_3_item_1_mod_1_option_4,4,
Extra Cheese,Extra Cheese,,,50,1,Y,den_mcdonalds_c_3_item_1_mod_1,den_mcdonalds_c_3_item_1_mod_1_option_5,5,
Extra Egg,Extra Folded Egg,,,185,1,Y,den_mcdonalds_c_3_item_1_mod_1,den_mcdonalds_c_3_item_1_mod_1_option_6,6,
Extra Bacon,Extra Bacon,,,160,1,Y,den_mcdonalds_c_3_item_1_mod_1,den_mcdonalds_c_3_item_1_mod_1_option_7,7,
Extra Biscuit,Extra Biscuit,,,175,1,Y,den_mcdonalds_c_3_item_1_mod_1,den_mcdonalds_c_3_item_1_mod_1_option_8,8,
Sub Egg White,Subtitute Egg White,,,,1,Y,den_mcdonalds_c_3_item_1_mod_1,den_mcdonalds_c_3_item_1_mod_1_option_9,9,
Sm Coffee,Small Coffee,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_1,1,
Md Coffee,Medium Coffee,,,304,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_2,2,
Lg Coffee,Large Coffee,,,337,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_3,3,
Sm Decaf,Small Decaf Coffee,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_4,4,
Md Decaf,Medium Decaf Coffee,,,304,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_5,5,
Lg Decaf,Large Decaf Coffee,,,337,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_6,6,
Sm Hot Tea,Small Hot Tea,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_7,7,
Md Hot Tea,Medium Hot Tea,,,304,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_8,8,
Lg Hot Tea,Large Hot Tea,,,337,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_9,9,
Sm MM OJ,Small Minute Maid OJ,,,342,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_10,10,
Md MM OJ,Medium Minute Maid OJ,,,391,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_11,11,
Lg MM OJ,Large Minute Maid OJ,,,446,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_12,12,
Apple Juice,Honest Kids Apple Juice,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_13,13,
Milk,1% Low Fat Milk Jug,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_14,14,
Coke,Coca-Cola,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_15,15,
Diet Coke,Diet Coke,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_16,16,
Sprite,Sprite,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_17,17,
Fanta Org,Fanta Orange,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_18,18,
Dr P,Dr Pepper,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_19,19,
Fruit Punch,Fruit Punch,,,,1,N,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_20,20,
Mello Yello,Mello Yello,,,,1,N,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_21,21,
MIX Sprite,MIX by Sprite,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_22,22,
Swt Ice Tea,Sweet Iced Tea,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_23,23,
Unswt Ice Tea,Unsweetened Iced Tea,,,275,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_24,24,
Dasani,Dasani Water,,,293,1,Y,den_mcdonalds_c_3_item_1_mod_2,den_mcdonalds_c_3_item_1_mod_2_option_25,25,
