uniqueRetailerItemId,dayOfWeek,restrictOrderTimes,prepRestrictTimesGroup1,prepTimeCategoryIdGroup1,prepRestrictTimesGroup2,prepTimeCategoryIdGroup2,prepRestrictTimesGroup3,prepTimeCategoryIdGroup3,isActive
den_rootdown_c_item_8,1,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_8,2,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_8,3,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_8,4,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_8,5,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_8,6,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_8,7,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_9,1,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_9,2,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_9,3,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_9,4,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_9,5,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_9,6,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_9,7,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_10,1,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_10,2,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_10,3,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_10,4,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_10,5,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_10,6,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_10,7,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_11,1,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_11,2,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_11,3,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_11,4,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_11,5,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_11,6,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_11,7,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_12,1,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_12,2,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_12,3,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_12,4,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_12,5,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_12,6,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_12,7,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_13,1,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_13,2,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_13,3,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_13,4,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_13,5,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_13,6,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_13,7,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_14,1,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_14,2,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_14,3,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_14,4,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_14,5,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_14,6,7:00 AM - 12:00 PM,,,,,,,Y
den_rootdown_c_item_14,7,7:00 AM - 12:00 PM,,,,,,,Y
