optionPOSName,optionDisplayName,optionDisplayDescription,optionId,pricePerUnit,priceLevelId,isActive,uniqueRetailerItemModifierId,uniqueId,optionDisplaySequence,version
Seasoned Homefries,Seasoned Homefries,,1,300,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,2,250,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,3,300,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,4,300,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,5,200,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_5,5,
English Muffin,English Muffin,,6,200,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,7,500,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,8,300,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_8,8,
Seasoned Homefries,Seasoned Homefries,,9,300,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,10,250,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,11,300,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,12,300,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,13,200,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_5,5,
English Muffin,English Muffin,,14,200,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,15,500,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,16,300,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_8,8,
Seasoned Homefries,Seasoned Homefries,,17,300,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,18,250,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,19,300,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,20,300,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,21,200,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_5,5,
English Muffin,English Muffin,,22,200,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,23,500,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,24,300,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_8,8,
Seasoned Homefries,Seasoned Homefries,,25,300,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,26,250,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,27,300,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,28,300,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,29,200,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_5,5,
English Muffin,English Muffin,,30,200,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,31,500,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,32,300,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_8,8,
Seasoned Homefries,Seasoned Homefries,,33,300,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,34,250,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,35,300,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,36,300,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,37,200,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_5,5,
English Muffin,English Muffin,,38,200,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,39,500,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,40,300,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_8,8,
