modifierPOSName,modifierDisplayName,modifierDisplayDescription,modifierId,maxQuantity,minQuantity,isRequired,isActive,uniqueRetailerItemId,uniqueId,modifierDisplaySequence,version
Breakfast Sides,,,2,1,1,N,N,den_timberline_c_item_1,den_timberline_c_item_1_mod_1,1,
Breakfast Sides,,,3,1,1,N,N,den_timberline_c_item_2,den_timberline_c_item_2_mod_1,1,
Breakfast Sides,,,4,1,1,N,N,den_timberline_c_item_3,den_timberline_c_item_3_mod_1,1,
Breakfast Sides,,,5,1,1,N,N,den_timberline_c_item_4,den_timberline_c_item_4_mod_1,1,
Breakfast Sides,,,6,1,1,N,N,den_timberline_c_item_5,den_timberline_c_item_5_mod_1,1,
Breakfast Sides,,,7,1,1,N,N,den_timberline_c_item_6,den_timberline_c_item_6_mod_1,1,
Flavors,,,8,1,1,Y,Y,den_timberline_c_item_15,den_timberline_c_item_15_mod_1,1,
Sauce,,,9,1,1,Y,Y,den_timberline_c_item_15,den_timberline_c_item_15_mod_2,2,
Protein,,,10,1,1,Y,Y,den_timberline_c_item_17,den_timberline_c_item_17_mod_1,1,
Protein,,,11,1,1,N,Y,den_timberline_c_item_19,den_timberline_c_item_19_mod_1,1,
Protein,,,12,1,1,N,Y,den_timberline_c_item_22,den_timberline_c_item_22_mod_1,1,
Burger Upgrades,,,13,1,1,N,Y,den_timberline_c_item_23,den_timberline_c_item_23_mod_1,1,
Burger Upgrades,,,14,1,1,N,N,den_timberline_c_item_24,den_timberline_c_item_24_mod_1,1,
Burger Upgrades,,,15,1,1,N,N,den_timberline_c_item_25,den_timberline_c_item_25_mod_1,1,
Burger Upgrades,,,16,1,1,N,N,den_timberline_c_item_26,den_timberline_c_item_26_mod_1,1,
Dinner Sides,,,17,2,2,Y,N,den_timberline_c_item_31,den_timberline_c_item_31_mod_1,1,
Dinner Sides,,,18,2,2,Y,N,den_timberline_c_item_32,den_timberline_c_item_32_mod_1,1,
Dinner Sides,,,19,2,2,Y,N,den_timberline_c_item_33,den_timberline_c_item_33_mod_1,1,
Add,,,20,0,0,N,Y,den_timberline_c_item_46,den_timberline_c_item_46_mod_1,1,
