optionPOSName,optionDisplayName,optionDisplayDescription,optionId,pricePerUnit,priceLevelId,isActive,uniqueRetailerItemModifierId,uniqueId,optionDisplaySequence,version
Scrambled,Scrambled,,1,,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_1,1,
Over Easy,Over Easy,,2,,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_2,2,
Over Medium,Over Medium,,3,,1,N,den_timberline_c_item_1_mod_1,den_timberline_c_item_1_mod_1_option_3,3,
Seasoned Homefries,Seasoned Homefries,,4,300,1,N,den_timberline_c_item_1_mod_2,den_timberline_c_item_1_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,5,250,1,N,den_timberline_c_item_1_mod_2,den_timberline_c_item_1_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,6,300,1,N,den_timberline_c_item_1_mod_2,den_timberline_c_item_1_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,7,300,1,N,den_timberline_c_item_1_mod_2,den_timberline_c_item_1_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,8,200,1,N,den_timberline_c_item_1_mod_2,den_timberline_c_item_1_mod_1_option_5,5,
English Muffin,English Muffin,,9,200,1,N,den_timberline_c_item_1_mod_2,den_timberline_c_item_1_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,10,500,1,N,den_timberline_c_item_1_mod_2,den_timberline_c_item_1_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,11,300,1,N,den_timberline_c_item_1_mod_2,den_timberline_c_item_1_mod_1_option_8,8,
Seasoned Homefries,Seasoned Homefries,,12,300,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,13,250,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,14,300,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,15,300,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,16,200,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_5,5,
English Muffin,English Muffin,,17,200,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,18,500,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,19,300,1,N,den_timberline_c_item_2_mod_1,den_timberline_c_item_2_mod_1_option_8,8,
Seasoned Homefries,Seasoned Homefries,,20,300,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,21,250,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,22,300,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,23,300,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,24,200,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_5,5,
English Muffin,English Muffin,,25,200,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,26,500,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,27,300,1,N,den_timberline_c_item_3_mod_1,den_timberline_c_item_3_mod_1_option_8,8,
Seasoned Homefries,Seasoned Homefries,,28,300,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,29,250,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,30,300,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,31,300,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,32,200,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_5,5,
English Muffin,English Muffin,,33,200,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,34,500,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,35,300,1,N,den_timberline_c_item_4_mod_1,den_timberline_c_item_4_mod_1_option_8,8,
Seasoned Homefries,Seasoned Homefries,,36,300,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,37,250,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,38,300,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,39,300,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,40,200,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_5,5,
English Muffin,English Muffin,,41,200,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_6,6,
Two Pancakes,Two Pancakes,,42,500,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_7,7,
Muffin of the Day,Muffin of the Day,,43,300,1,N,den_timberline_c_item_5_mod_1,den_timberline_c_item_5_mod_1_option_8,8,
Seasoned Homefries,Seasoned Homefries,,44,300,1,N,den_timberline_c_item_6_mod_1,den_timberline_c_item_6_mod_1_option_1,1,
One Extra Large Egg,One Extra Large Egg,,45,250,1,N,den_timberline_c_item_6_mod_1,den_timberline_c_item_6_mod_1_option_2,2,
Three Slices Applewood Smoked Bacon,Three Slices Applewood Smoked Bacon,,46,300,1,N,den_timberline_c_item_6_mod_1,den_timberline_c_item_6_mod_1_option_3,3,
Three Maple Sausage Links,Three Maple Sausage Links,,47,300,1,N,den_timberline_c_item_6_mod_1,den_timberline_c_item_6_mod_1_option_4,4,
Two Slices Wheat Toast,Two Slices Wheat Toast,,48,200,1,N,den_timberline_c_item_6_mod_1,den_timberline_c_item_6_mod_1_option_5,5,
