itemCategoryName,itemSecondCategoryName,itemThirdCategoryName,itemPOSName,itemDisplayName,itemDisplayDescription,itemId,itemPrice,priceLevelId,isActive,uniqueRetailerId,uniqueId,itemImageURL,itemTags,itemDisplaySequence,taxCategory,allowedThruSecurity,version
Bites,,,Mediterranean Trio,Mediterranean Trio,"Mixed olives, herbed goat cheese, & housemade lemon garlic hummus. Served with Naan",1,1200,99,Y,unique_retailer_id,den_vinovolo_a_item_1,,,1,,Y,
Bites,,,Almonds & Olives,Almonds & Olives,Salted Marcona almonds & marinated olives,2,1000,99,Y,unique_retailer_id,den_vinovolo_a_item_2,,,2,,Y,
Bites,,,Caprese Salad,Caprese Salad,"Sliced tomatoes, fresh mozzarella, basil, & balsamic glaze",3,1100,99,Y,unique_retailer_id,den_vinovolo_a_item_3,,salad; cheese,3,,Y,
Bites,,,Tomato Soup,Tomato Soup,"San Marzano tomatoes, garlic, & white wine",4,1100,99,Y,unique_retailer_id,den_vinovolo_a_item_4,,soup,4,,N,
Bites,,,Beef & Bison Chili,Beef & Bison Chili,Thick & hearty with green chilis,5,1200,99,Y,unique_retailer_id,den_vinovolo_a_item_5,,soup,5,,N,
Bites,,,Avocado Toast,Avocado Toast,"Avocado, sea salt, on toasted everything bread",6,1100,99,Y,unique_retailer_id,den_vinovolo_a_item_6,,vegetarian,6,,Y,
Bites,,,Cheese Plate,Cheese Plate,3 artisanal cheeses with fig jam & almonds,7,1300,99,Y,unique_retailer_id,den_vinovolo_a_item_7,,cheese,7,,Y,
Bites,,,Cured Meats,Cured Meats,Selected artisan meats with whole-grain mustard & cornichons,8,1600,99,Y,unique_retailer_id,den_vinovolo_a_item_8,,,8,,Y,
Bites,,,Charcuterie Board,Charcuterie Board,"Assortment of artisan meats & cheese, with dried fruit & almonds",9,2300,99,Y,unique_retailer_id,den_vinovolo_a_item_9,,,9,,Y,
Plates,,,Avocado & Beet Salad,Avocado & Beet Salad,Kale dressed with mustard vinaigrette & pepitas,10,1300,99,Y,unique_retailer_id,den_vinovolo_a_item_10,,salad; entree,1,,Y,
Plates,,,Roasted Chicken Breast Salad,Roasted Chicken Breast Salad,"Spinach, goat cheese, pepitas, cranberries, & mustard vinaigrette",11,1400,99,Y,unique_retailer_id,den_vinovolo_a_item_11,,salad; entree; chicken,2,,Y,
Plates,,,Strawberry Balsamic Salad,Strawberry Balsamic Salad,"Spinach, strawberries, goat cheese, slivered almonds, & balsamic vinaigrette",12,1100,99,Y,unique_retailer_id,den_vinovolo_a_item_12,,salad; entree,3,,Y,
Plates,,,Caprese Sandwich,Caprese Sandwich,"Ciabatta, tomato, fresh mozzarella, basil, & balsamic glaze",13,1000,99,Y,unique_retailer_id,den_vinovolo_a_item_13,,sandwich,4,,Y,
Plates,,,Flank Steak Sandwich,Flank Steak Sandwich,"Steak, mozzarella, caramelized onions, & red wine au jus",14,1600,99,Y,unique_retailer_id,den_vinovolo_a_item_14,,sandwich,5,,Y,
Plates,,,B.L.T Sandwich,B.L.T Sandwich,"Whole wheat bread with bacon, spinach, & tomato with a side of mayonnaise",15,1000,99,Y,unique_retailer_id,den_vinovolo_a_item_15,,sandwich,6,,Y,
Plates,,,Brie & Prosciutto Sandwich,Brie & Prosciutto Sandwich,"Melted Brie, Italian prosciutto, greens, & fig jam",16,1400,99,Y,unique_retailer_id,den_vinovolo_a_item_16,,sandwich,7,,Y,
Plates,,,Turkey Pesto Sandwich,Turkey Pesto Sandwich,"Ciabatta, turkey, tomato, mozzarella, spinach, & pesto",17,1300,99,Y,unique_retailer_id,den_vinovolo_a_item_17,,sandwich,8,,Y,
Plates,,,Baked Penne & Cheese,Baked Penne & Cheese,"Parmesan-Reggiano, Gouda, breadcrumbs & truffle oil",18,1200,99,Y,unique_retailer_id,den_vinovolo_a_item_18,,entree; pasta,9,,Y,
Plates,,,Pizza,Pizza,"Pesto, marinated tomatoes, mozzarella, & arugula",19,1600,99,Y,unique_retailer_id,den_vinovolo_a_item_19,,pizza; entree,10,,Y,
Sweets,,,Apple Tart,Apple Tart,With caramel sauce,20,800,99,Y,unique_retailer_id,den_vinovolo_a_item_20,,dessert,1,,Y,
Sweets,,,Chocolate Torte,Chocolate Torte,"Rich, flourless torte with caramel sauce",21,800,99,Y,unique_retailer_id,den_vinovolo_a_item_21,,dessert,2,,Y,
Sweets,,,Greek Yogurt Cheesecake,Greek Yogurt Cheesecake,With strawberries,22,1000,99,Y,unique_retailer_id,den_vinovolo_a_item_22,,dessert,3,,Y,
