,26,27,28,29,30,31,32,34,-7,33,35,36,-2,-8,37,38,39,-3,-5,-4,40,411,412,42,43,44,45,46,-6,47,48,49,50,51,52,53,54,60,61,62,63,64,65,71,73,75,77,79,81,78,83,85,87
26,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,1.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,3,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,,,,,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8,,,,,,,,,,,,,3.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,1.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,3.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,4,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,,,,,,,,,,,,,,,,,4.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5,,,,,,,,,,,,,,,,,,0.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,,,,,,,,,,,,,,,,,,,4,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,12,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,1.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,3,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,2.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
