airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
DEN,A,Concourse A,,,26,A26,Gate A26,1,39.85379645521293; -104.67716018455118,Y,Y,50,N,N,0
DEN,A,Concourse A,,,27,A27,Gate A27,2,39.85379645521293; -104.67716018455118,N,Y,50,N,N,0
DEN,A,Concourse A,,,28,A28,Gate A28,3,39.85364831376061; -104.67700046138566,N,Y,50,N,N,0
DEN,A,Concourse A,,,29,A29,Gate A29,4,39.85406093569846; -104.67680817585592,N,Y,50,N,N,0
DEN,A,Concourse A,,,30,A30,Gate A30,5,39.853653591556586; -104.67675674377539,N,Y,50,N,N,0
DEN,A,Concourse A,,,31,A31,Gate A31,6,39.854068477928436; -104.67657171150043,N,Y,50,N,N,0
DEN,A,Concourse A,,,32,A32,Gate A32,7,39.853644777120266; -104.67646784030893,N,Y,50,N,N,0
DEN,A,Concourse A,,,34,A34,Gate A34,9,39.85366784265352; -104.6758011764134,N,Y,50,N,N,0
DEN,A,Concourse A,,,-7,A34-Training Rooms,Training Rooms (A34),52,39.85399920025681; -104.6758086105326,N,Y,50,N,N,0
DEN,A,Concourse A,,,33,A33,Gate A33,8,39.85421095372262; -104.67556167158824,N,Y,50,N,N,0
DEN,A,Concourse A,,,35,A35,Gate A35,10,39.85426272861685; -104.67536965628,N,Y,50,N,N,0
DEN,A,Concourse A,,,36,A36,Gate A36,11,39.853644178703995; -104.67548138539844,N,Y,50,N,N,0
DEN,A,Concourse A,,,-2,A-Frontier Service,Frontier Service (A36),47,39.853756342835304; -104.6752536298878,N,Y,50,N,N,0
DEN,A,Concourse A,,,-8,A-Room 2338,Room 2338,53,39.853724; -104.675198,N,Y,50,N,N,0
DEN,A,Concourse A,,,37,A37,Gate A37,12,39.85414231800342; -104.67468638974547,N,Y,50,N,N,0
DEN,A,Concourse A,,,38,A38,Gate A38,13,39.85363758080767; -104.67501513119005,N,Y,50,N,N,0
DEN,A,Concourse A,,,39,A39,Gate A39,14,39.85413901907971; -104.67450805288334,N,Y,50,N,N,0
DEN,A,Concourse A,,,-3,A-Mezzanine,Mezzanine,48,39.853665684483566; -104.67379895139189,N,Y,50,N,N,0
DEN,A,Concourse A,,,-9,A-USO ,USO ,54,"39.853625148456665, -104.67399202264151",N,Y,50,N,N,0
DEN,A,Concourse A,,,-10,A-Airline Clubs,Airline Clubs (L4) ,55,"39.85357252276672, -104.67371536957057",N,Y,50,N,N,0
DEN,A,Concourse A,,,-5,A-Center Core,Center Core,50,39.853849541875164; -104.67370683730455,N,Y,50,N,Y,0
DEN,A,Concourse A,,,-4,A-Train Platform,Train Platform,49,39.85384423830344; -104.67378973998315,N,Y,50,N,N,0
DEN,A,Concourse A,,,40,A40,Gate A40,15,39.85364977372358; -104.67311155001174,N,Y,50,N,N,0
DEN,A,Concourse A,,,411,A41a,Gate A41a,16,39.85421511195348; -104.67284859238036,N,Y,50,N,N,0
DEN,A,Concourse A,,,412,A41b,Gate A41b,17,39.854136966827284; -104.67288049801174,N,Y,50,N,N,0
DEN,A,Concourse A,,,42,A42,Gate A42,18,39.85359111480746; -104.67273768232845,N,Y,50,N,N,0
DEN,A,Concourse A,,,43,A43,Gate A43,19,"39.85424949665122, -104.67265358532124",N,Y,50,N,N,0
DEN,A,Concourse A,,,44,A44,Gate A44,20,"39.85362196316196, -104.67233669195409",N,Y,50,N,N,0
DEN,A,Concourse A,,,45,A45,Gate A45,21,"39.85417762085969, -104.67196578267205",N,Y,50,N,N,0
DEN,A,Concourse A,,,46,A46,Gate A46,22,"39.85362196316196, -104.67184694765935",N,Y,50,N,N,0
DEN,A,Concourse A,,,-6,A46-Badging Office,Badging Office (A46),51,"39.85356943806984, -104.6716993041532",N,Y,50,N,N,0
DEN,A,Concourse A,,,47,A47,Gate A47,23,"39.854130625106585, -104.67183254339506",N,Y,50,N,N,0
DEN,A,Concourse A,,,48,A48,Gate A48,24,"39.85359155390183, -104.6711627460508",N,Y,50,N,N,0
DEN,A,Concourse A,,,49,A49,Gate A49,25,"39.85400898889692, -104.6709322781474",N,Y,50,N,N,0
DEN,A,Concourse A,,,50,A50,Gate A50,26,"39.8536053762933, -104.67086385798858",N,Y,50,N,N,0
DEN,A,Concourse A,,,51,A51,Gate A51,27,"39.854032898128494, -104.67074790768069",N,Y,50,N,N,0
DEN,A,Concourse A,,,52,A52,Gate A52,28,"39.85364029844965, -104.67057919528847",N,Y,50,N,N,0
DEN,A,Concourse A,,,53,A53,Gate A53,29,"39.85401670849539, -104.67060028433752",N,Y,50,N,N,0
DEN,A,Concourse A,,,54,A54,Gate A54,30,39.853945581378; -104.67254204738018,N,Y,50,N,N,0
DEN,A,Concourse A,,,60,A60,Gate A60,31,"39.85378070127076, -104.66998215227228",N,Y,50,N,N,0
DEN,A,Concourse A,,,61,A61,Gate A61,32,39.853501079934105; -104.66968909843544,N,Y,50,N,N,0
DEN,A,Concourse A,,,62,A62,Gate A62,33,39.853501079934105; -104.66968909843544,N,Y,50,N,N,0
DEN,A,Concourse A,,,63,A63,Gate A63,34,39.853501079934105; -104.66968909843544,N,Y,50,N,N,0
DEN,A,Concourse A,,,64,A64,Gate A64,35,"39.85374741330827, -104.66932209197377",N,Y,50,N,N,0
DEN,A,Concourse A,,,65,A65,Gate A65,36,"39.85370210466673, -104.66896315407418",N,Y,50,N,N,0
DEN,A,Concourse A,,,71,A71,Gate A71,37,"39.85430598313364, -104.6695439705564",N,Y,50,N,N,0
DEN,A,Concourse A,,,73,A73,Gate A73,38,"39.85433650728276, -104.66915666170974",N,Y,50,N,N,0
DEN,A,Concourse A,,,75,A75,Gate A75,39,"39.85432341669132, -104.66883892780878",N,Y,50,N,N,0
DEN,A,Concourse A,,,77,A77,Gate A77,40,"39.85431558487668, -104.66864946255394",N,Y,50,N,N,0
DEN,A,Concourse A,,,79,A79,Gate A79,41,"39.85435362511156, -104.6687019298551",N,Y,50,N,N,0
DEN,A,Concourse A,,,81,A81,Gate A81,42,"39.85436705107078, -104.66803588660575",N,Y,50,N,N,0
DEN,A,Concourse A,,,78,A78,Gate A78,43,39.85433714551215; -104.66800811047887,N,Y,50,N,N,0
DEN,A,Concourse A,,,83,A83,Gate A83,44,"39.85421265236986, -104.66835652010927",N,Y,50,N,N,0
DEN,A,Concourse A,,,85,A85,Gate A85,45,"39.85422943485418, -104.6678376767998",N,Y,50,N,N,0
DEN,A,Concourse A,,,87,A87,Gate A87,46,"39.85422943485418, -104.6678376767998",N,Y,50,N,N,0
DEN,B,Concourse B,,,11,B11,Gate B11,6,"39.85421265236986, -104.66835652010927",N,Y,50,N,N,0
DEN,B,Concourse B,,,9,B9,Gate B9,4,"39.858991858490604, -104.68007437801698",N,Y,50,N,N,0
DEN,B,Concourse B,,,7,B7,Gate B7,2,"39.85902480133276, -104.68035064553966",N,Y,50,N,N,0
DEN,B,Concourse B,,,-4,B-West Sundeck,West Sundeck,82,39.89844468159922; -104.76567195001236,N,Y,50,N,N,0
DEN,B,Concourse B,,,8,B8,Gate B8,3,"39.85858418951021, -104.68055181121152",N,Y,50,N,N,0
DEN,B,Concourse B,,,10,B10,Gate B10,5,39.898447851567944; -104.76567871074863,N,Y,50,N,N,0
DEN,B,Concourse B,,,12,B12,Gate B12,7,"39.85858007162937, -104.6802782258978",N,Y,50,N,N,0
DEN,B,Concourse B,,,16,B16,Gate B16,8,"39.85849541393173, -104.67935813291896",N,Y,50,N,N,0
DEN,B,Concourse B,,,18,B18,Gate B18,9,"39.85849128174931, -104.67905399105682",N,Y,50,N,N,0
DEN,B,Concourse B,,,-1,B-United Service,United Service,81,39.858764589758984; -104.67874814345763,N,Y,50,N,N,0
DEN,B,Concourse B,,,20,B20,Gate B20,10,"39.85847268692534, -104.67876061527825",N,Y,50,N,N,0
