fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
A,,B,,-22,-25,30,N,
A,,C,,-22,-21,30,N,
A,,D,,-22,-43,60,N,
A,,E,,-22,-27,90,N,
B,,A,,-25,-22,30,N,
B,,C,,-25,-22,75,N,
B,,D,,-25,-43,30,N,
B,,E,,-25,-27,52.5,N,
C,,A,,-22,-22,45,N,
C,,B,,-22,-25,75,N,
C,,D,,-22,-43,52.5,N,
C,,E,,-22,-27,30,N,
D,,A,,-43,-22,60,N,
D,,B,,-43,-25,30,N,
D,,C,,-43,-25,52.5,N,
D,,E,,-43,-27,22.5,N,
E,,A,,-27,-22,75,N,
E,,B,,-27,-25,52.5,N,
E,,C,,-27,-22,30,N,
E,,D,,-27,-43,22.5,N,
