terminal,concourse,gate,imageX,imageY
A,A1,-1,,
A,A1,10,,
A,A1,12,,
A,A1,14,,
A,A1,16,,
A,A1,18,,
A,A2,-1,,
A,A2,20,,
A,A2,22,,
A,A2,24,,
A,A2,26,,
A,A2,28,,
A,A3,-1,,
A,A3,30,,
A,A3,32,,
A,A3,34,,
A,A3,36,,
A,A3,38,,
A,Pre,-13,,
A,Pre,-1,,
A,Pre,-2,,
A,Pre,-3,,
A,Pre,-4,,
A,Pre,-5,,
A,Pre,-6,,
A,Pre,-7,,
A,Pre,-8,,
A,Pre,-9,,
A,Pre,-10,,
A,Pre,-11,,
A,Pre,-12,,
A,Pre,-14,,
A,Pre,-15,,
A,Pre,-16,,
B,B1,-3,,
B,B1,-1,,
B,B1,-2,,
B,B1,40,,
B,B1,41,,
B,B1,42,,
B,B1,44,,
B,B1,45,,
B,B1,46,,
B,B1,47,,
B,B2,-1,,
B,B2,51,,
B,B2,52,,
B,B2,54,,
B,B2,56,,
B,B3,63,,
B,B3,62,,
B,B3,64,,
B,B3,66,,
B,B3,68,,
B,B3,-1,,
B,B3,-2,,
B,B3,-3,,
B,Pre,-15,,
B,Pre,-1,,
B,Pre,-2,,
B,Pre,-3,,
B,Pre,-4,,
B,Pre,-5,,
B,Pre,-6,,
B,Pre,-7,,
B,Pre,-8,,
B,Pre,-9,,
B,Pre,-10,,
B,Pre,-11,,
B,Pre,-12,,
B,Pre,-13,,
B,Pre,-14,,
B,Pre,-16,,
B,Pre,-17,,
B,Pre,-18,,
C,Pre,-1,,
C,Pre,-2,,
C,Pre,-3,,
C,Pre,-4,,
C,Pre,-5,,
C,Pre,-6,,
C,Pre,-7,,
C,Pre,-8,,
C,Pre,-9,,
C,Pre,-10,,
C,Pre,-11,,
C,Pre,-12,,
C,Pre,-13,,
C,Pre,-14,,
C,Pre,-15,,
P3,Car,-1,,
P3,Car,-2,,
P3,Car,-3,,
P3,Car,-4,,
P3,Car,-5,,
P4,Daily,-1,,
