,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
-1,,9.5,,,,,,,,,,,,,,,,
-2,9.5,,2,,,,,,,,,,,,,,,
-3,,2,,6,,,,,,,,,,,,,,
-4,,,6,,0.5,,,,,,,,,,,,,
-5,,,,0.5,,3.5,,,,,,,,,,,,
-6,,,,,3.5,,4,,,,,,,,,,,
-7,,,,,,4,,2.5,,,,,,,,,,
-8,,,,,,,2.5,,2.5,,,,,,,,,
-9,,,,,,,,2.5,,3.5,,,,,,,,
-10,,,,,,,,,3.5,,3,,,,,,,
-11,,,,,,,,,,3,,9.5,,,,,,
-12,,,,,,,,,,,9.5,,11,,,,,
-13,,,,,,,,,,,,11,,4.5,,,,
-14,,,,,,,,,,,,,4.5,,6.5,,,
-15,,,,,,,,,,,,,,6.5,,7,,
-16,,,,,,,,,,,,,,,7,,8.5,
-17,,,,,,,,,,,,,,,,8.5,,11.5
-18,,,,,,,,,,,,,,,,,11.5,
