fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
A,A1,A,A2,-1,-1,7,Y,
A,A1,A,A3,-1,-1,12,Y,
A,A1,A,Pre,-1,-13,7,N,
A,A1,B,B1,-1,-3,36,Y,
A,A1,B,B2,-1,-1,43,Y,
A,A1,B,B3,-1,-3,50,Y,
A,A1,B,Pre,-1,-15,43,N,
A,A1,C,Pre,-1,-5,72,N,
A,A1,P3,Car,-1,-1,23,N,
A,A1,P4,Daily,-1,-1,85,N,
A,A2,A,A1,-1,-1,7,Y,
A,A2,A,A3,-1,-1,7,Y,
A,A2,A,Pre,-1,-13,2,N,
A,A2,B,B1,-1,-3,28,Y,
A,A2,B,B2,-1,-1,36,Y,
A,A2,B,B3,-1,-3,43,Y,
A,A2,B,Pre,-1,-15,36,N,
A,A2,C,Pre,-1,-5,63,N,
A,A2,P3,Car,-1,-1,28,N,
A,A2,P4,Daily,-1,-1,83,N,
A,A3,A,A1,-1,-1,12,Y,
A,A3,A,A2,-1,-1,7,Y,
A,A3,A,Pre,-1,-13,8,N,
A,A3,B,B1,-1,-3,27,Y,
A,A3,B,B2,-1,-1,35,Y,
A,A3,B,B3,-1,-3,42,Y,
A,A3,B,Pre,-1,-15,33,N,
A,A3,C,Pre,-1,-5,59,N,
A,A3,P3,Car,-1,-1,35,N,
A,A3,P4,Daily,-1,-1,79,N,
A,Pre,A,A1,-14,-1,3,Y,
A,Pre,A,A2,-15,-1,3,Y,
A,Pre,A,A3,-16,-1,3,Y,
A,Pre,B,B1,-12,-3,27,Y,
A,Pre,B,B2,-12,-1,35,Y,
A,Pre,B,B3,-12,-3,42,Y,
A,Pre,B,Pre,-12,-15,33,N,
A,Pre,C,Pre,-12,-5,59,N,
A,Pre,P3,Car,-14,-1,35,N,
A,Pre,P4,Daily,-12,-1,79,N,
B,B1,A,A1,-3,-1,36,Y,
B,B1,A,A2,-3,-1,28,Y,
B,B1,A,A3,-3,-1,27,Y,
B,B1,A,Pre,-3,-13,27,N,
B,B1,B,B2,-3,-1,7,Y,
B,B1,B,B3,-3,-3,18,Y,
B,B1,B,Pre,-3,-13,8,N,
B,B1,C,Pre,-3,-5,37,N,
B,B1,P3,Car,-3,-1,55,N,
B,B1,P4,Daily,-3,-1,65,N,
B,B2,A,A1,-1,-1,43,Y,
B,B2,A,A2,-1,-1,36,Y,
B,B2,A,A3,-1,-1,35,Y,
B,B2,A,Pre,-1,-13,40,N,
B,B2,B,B1,-1,-3,7,Y,
B,B2,B,B3,-1,-3,14,Y,
B,B2,B,Pre,-1,-15,3,N,
B,B2,C,Pre,-1,-5,33,N,
B,B2,P3,Car,-1,-1,60,N,
B,B2,P4,Daily,-1,-1,58,N,
B,B3,A,A1,-3,-1,55,Y,
B,B3,A,A2,-3,-1,48,Y,
B,B3,A,A3,-3,-1,45,Y,
B,B3,A,Pre,-3,-13,50,N,
B,B3,B,B1,-3,-3,18,Y,
B,B3,B,B2,-3,-1,14,Y,
B,B3,B,Pre,-3,-15,14,N,
B,B3,C,Pre,-3,-5,30,N,
B,B3,P3,Car,-3,-1,73,N,
B,B3,P4,Daily,-3,-1,58,N,
B,Pre,A,A1,-16,-1,43,Y,
B,Pre,A,A2,-16,-1,36,Y,
B,Pre,A,A3,-16,-1,33,Y,
B,Pre,A,Pre,-16,-13,33,N,
B,Pre,B,B1,-16,-3,8,Y,
B,Pre,B,B2,-17,-1,3,Y,
B,Pre,B,B3,-18,-3,14,Y,
B,Pre,C,Pre,-1,-5,18,N,
B,Pre,P3,Car,-16,-1,51,N,
B,Pre,P4,Daily,-1,-1,47,N,
C,Pre,A,A1,-5,-1,72,Y,
C,Pre,A,A2,-5,-1,63,Y,
C,Pre,A,A3,-5,-1,59,Y,
C,Pre,A,Pre,-5,-12,59,N,
C,Pre,B,B1,-5,-3,37,Y,
C,Pre,B,B2,-5,-1,33,Y,
C,Pre,B,B3,-5,-3,30,Y,
C,Pre,B,Pre,-5,-1,18,N,
C,Pre,P3,Car,-5,-1,88,N,
C,Pre,P4,Daily,-5,-1,30,N,
P3,Car,A,A1,-1,-1,23,Y,
P3,Car,A,A2,-1,-1,28,Y,
P3,Car,A,A3,-1,-1,35,Y,
P3,Car,A,Pre,-1,-14,35,N,
P3,Car,B,B1,-1,-3,55,Y,
P3,Car,B,B2,-1,-1,60,Y,
P3,Car,B,B3,-1,-3,73,Y,
P3,Car,B,Pre,-1,-16,51,N,
P3,Car,C,Pre,-1,-5,88,N,
P3,Car,P4,Daily,-1,-1,90,N,
P4,Daily,A,A1,-1,-1,85,Y,
P4,Daily,A,A2,-1,-1,83,Y,
P4,Daily,A,A3,-1,-1,79,Y,
P4,Daily,A,Pre,-1,-12,79,N,
P4,Daily,B,B1,-1,-3,65,Y,
P4,Daily,B,B2,-1,-1,58,Y,
P4,Daily,B,B3,-1,-3,58,Y,
P4,Daily,B,Pre,-1,-1,47,N,
P4,Daily,C,Pre,-1,-1,30,N,
P4,Daily,P3,Car,-1,-1,90,N,
