airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
EWR,A,Terminal A,A1,Gates 10-18,-1,A1-TSA (Post-Security),TSA (Post-Security),6,40.68794250224763; -74.18254089546376,N,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,10,A10/11,Gates 10/11,1,40.687023749683924; -74.1851746584581,Y,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,12,A12/13,Gates 12/13,2,40.68702436642101; -74.18517289047847,N,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,14,A14/15,Gates 14/15,3,40.68702560532735; -74.18516933894693,N,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,16,A16/17,Gates 16/17,4,40.68702674508744; -74.1851660716347,N,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,18,A18,Gate 18,5,40.687026856138765; -74.18516575328755,N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,-1,A2-TSA (Post-Security),TSA (Post-Security),6,40.6879178554693; -74.18255139206616,N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,20,A20/21,Gates 20/21,1,"40.686323, -74.182948",N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,22,A22/23,Gates 22/23,2,"40.686046, -74.183087",N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,24,A24/25,Gates 24/25,3,"40.685867, -74.182778",N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,26,A26/27,Gates 26/27,4,"40.686011, -74.182470",N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,28,A28,Gate 28,5,"40.686265, -74.182481",N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,-1,A3-TSA (Post-Security),TSA (Post-Security),6,40.68794250488352; -74.18254089355413,N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,30,A30/31,Gates 30/31,1,40.686628058740425; -74.1800158762642,N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,32,A32/33,Gates 32/33,2,40.68659155157006; -74.18000037679982,N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,34,A34/35,Gates 34/35,3,40.686551181896476; -74.17998284517586,N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,36,A36/37,Gates 36/37,4,40.68655672855549; -74.17998525889118,N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,38,A38/39,Gates 38/39,5,40.6865488244854; -74.1799818217166,N,Y,50,N,N,0
EWR,A,Terminal A,Pre,Employee,-13,A-Food Court,Food Court,1,40.687495; -74.182681,N,N,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-1,A-AirTrain Entrance,AirTrain Entrance,9,40.6872299376467; -74.18221833140444,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-2,A-Bldg 351,Bldg 351,12,40.68992072959011; -74.18324093762313,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-3,A-Bldg 352,Bldg 352,13,40.689971125079204; -74.18310061232549,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-4,A-ASA Baggage Office,ASA Bag Office,10,40.68794184244319; -74.18253965229759,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-5,A-AAL Credit Union,AAL Credit Union,6,40.687939786949954; -74.18254270146555,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-6,A-AAL Baggage Office,AAL Bag Office,5,40.68794103944444; -74.18254190734076,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-7,A-JBU Baggage Office,JBU Bag Office,14,40.6879417825173; -74.18254140208244,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-8,A-JBU Tix Counter,JBU Tix Counter,15,40.68794250511925; -74.18254089338629,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-9,A-ACA Tix Counter,ACA Tix Counter,8,40.687942505057656; -74.1825408934297,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-10,A-AAL Tix Counter,AAL Tix Counter,7,40.687942504904115; -74.1825408935394,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-11,A-ASA Tix Counter,ASA Tix Counter,11,40.68794250488879; -74.18254089355037,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-12,A-TSA Training,TSA Training,16,40.687942504884326; -74.18254089355356,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre,Employee,-14,A1-TSA Podium,A1 TSA Podium,2,40.687517; -74.183786,N,Y,50,Y,Y,0
