terminal,concourse,gate,imageX,imageY
4,,7,,
4,,6,,
4,,5,,
4,,4,,
4,,3,,
4,,-1,,
4,,2,,
4,,-2,,
4,,-3,,
4,,-4,,
4,,-5,,
4,,-6,,
4,,-7,,
4,,-8,,
4,,-9,,
4,,-10,,
4,,-11,,
4,,-12,,
4,,18,,
4,,20,,
4,,-13,,
4,,-14,,
4,,-15,,
4,,22,,
4,,23,,
4,,-16,,
4,,-17,,
4,,-18,,
4,,24,,
4,,25,,
4,,26,,
4,,27,,
4,,28,,
4,,-19,,
4,,29,,
4,,30,,
4,,31,,
4,,-20,,
4,,32,,
4,,-21,,
4,,33,,
4,,-22,,
4,,34,,
4,,35,,
4,,36,,
4,,-23,,
4,,37,,
4,,-24,,
4,,38,,
4,,-25,,
4,,-26,,
4,,-27,,
4,,-28,,
4,,41,,
4,,42,,
4,,43,,
4,,44,,
4,,45,,
4,,47,,
4,,48,,
4,,49,,
4,,51,,
4,,53,,
4,,55,,
4,,-29,,
4,,-30,,
4,,-31,,
4,,-32,,
4,,-33,,
4,,-34,,
4,,-35,,
4,,-36,,
4,,-37,,
4,,-38,,
4,,-39,,
4,,-40,,
4,,-41,,
4,,-42,,
4,,-43,,
4,,-44,,
4,,-45,,
4,,-46,,
4,,-47,,
4,,-48,,
5,,-1,,
8,,1,,
8,,2,,
8,,3,,
8,,4,,
8,,5,,
8,,7,,
8,,6,,
8,,8,,
8,,10,,
8,,-1,,
8,,12,,
8,,14,,
8,,16,,
8,,31,,
8,,32,,
8,,33,,
8,,34,,
8,,35,,
8,,36,,
8,,37,,
8,,38,,
8,,39,,
8,,40,,
8,,42,,
8,,41,,
8,,43,,
8,,44,,
8,,45,,
8,,46,,
8,,47,,
8,,-22,,
8,,-2,,
8,,-3,,
8,,-4,,
8,,-5,,
8,,-6,,
8,,-7,,
8,,-8,,
8,,-9,,
8,,-10,,
8,,-11,,
8,,-12,,
8,,-13,,
8,,-14,,
8,,-15,,
8,,-16,,
8,,-17,,
8,,-18,,
8,,-19,,
8,,-20,,
8,,-21,,
