airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
JFK,4,Terminal 4,,,7,T4-A7,Gate A7,6,40.64326153661476; -73.77933737617461,N,Y,50,N,N,0
JFK,4,Terminal 4,,,6,T4-A6,Gate A6,5,40.64327624352554; -73.77926707540341,N,Y,50,N,N,0
JFK,4,Terminal 4,,,5,T4-A5,Gate A5,4,40.64326894008573; -73.77917587378784,N,Y,50,N,N,0
JFK,4,Terminal 4,,,4,T4-A4,Gate A4,3,40.64340308127011; -73.7792823265936,N,Y,50,N,N,0
JFK,4,Terminal 4,,,3,T4-A3,Gate A3,2,40.643722668946765; -73.77974097125266,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-1,T4-IAT Ops Mgmt (A3),IAT Ops Mgmt (A3),72,40.64361759385994; -73.77992456654026,N,Y,50,N,N,0
JFK,4,Terminal 4,,,2,T4-A2,Gate A2,1,40.643713269972324; -73.77984018359413,Y,Y,50,N,N,0
JFK,4,Terminal 4,,,-2,T4-DL Baggage Ctrl Room,DL Baggage Ctrl Room,52,40.644106015754396; -73.78242121586388,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-3,T4-US Public Health Service,US Public Health Service,82,40.644211745614854; -73.78186776701095,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-4,T4-BHS Control,BHS Control,40,40.64418336617022; -73.7821849398457,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-5,T4-Coach Seating Area,Coach Seating Area,50,40.64386048239948; -73.78216671229006,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-6,T4-Guess Seating Area,Guess Seating Area,70,40.64386048239948; -73.78216671229006,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-7,T4-Control Tower Door,Control Tower Door,51,40.644073397515676; -73.78268496390055,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-8,T4-TSA Breakroom,TSA Breakroom,80,40.64367489697162; -73.78265405306455,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-9,T4-TSA Manager's Office,TSA Mgr Office,81,40.64386964651972; -73.78288457739636,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-10,T4-Victoria Secret Seating Area,Victoria Secret Seating Area,83,40.644029281893154; -73.78291899860538,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-11,T4-Le Grand Comptor Seating Area,Le Grand Comptor Seating Area,76,40.643330550014404; -73.78323967547699,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-12,T4-Swarovski Seating Area,Swarovski Seating Area,78,40.64384364144399; -73.78299937460072,N,Y,50,N,N,0
JFK,4,Terminal 4,,,18,T4-B18,Gate B18,7,40.6427816045565; -73.7841311212658,N,Y,50,N,N,0
JFK,4,Terminal 4,,,20,T4-B20,Gate B20,8,40.64219910377376; -73.78347719997082,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-13,T4-DL RTSM Office,DL RTSM Office,64,40.642127889991436; -73.78350293122725,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-14,T4-DL Command Center,DL Command Center,55,40.642116117895796; -73.78348970649203,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-15,T4-DL IROPS Office,DL IROPS Office,59,40.64206617906696; -73.78349617083688,N,Y,50,N,N,0
JFK,4,Terminal 4,,,22,T4-B22,Gate B22,9,40.64208097803463; -73.78341025360272,N,Y,50,N,N,0
JFK,4,Terminal 4,,,23,T4-B23,Gate B23,10,40.64208571185842; -73.7834010693767,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-16,T4-ISS CCR Office,ISS CCR Office,75,40.64165919690433; -73.78308666899564,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-17,T4-Asiana Airlines Office,Asiana Airlines Office,39,40.642014874551606; -73.78345843403018,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-18,T4-ISS Admin Office,ISS Admin Office,74,40.64200947190442; -73.78344915288561,N,Y,50,N,N,0
JFK,4,Terminal 4,,,24,T4-B24,Gate B24,11,40.64175076718947; -73.78318828894564,N,Y,50,N,N,0
JFK,4,Terminal 4,,,25,T4-B25,Gate B25,12,40.64160894905654; -73.78296546296906,N,Y,50,N,N,0
JFK,4,Terminal 4,,,26,T4-B26,Gate B26,13,40.640913815055086; -73.78253903360964,N,Y,50,N,N,0
JFK,4,Terminal 4,,,27,T4-B27,Gate B27,14,40.64071117348464; -73.78236078141497,N,Y,50,N,N,0
JFK,4,Terminal 4,,,28,T4-B28,Gate B28,15,40.64070651785195; -73.78233967321587,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-19,T4-PAX Assist Dispatch,PAX Assist Dispatch,77,40.64044553436045; -73.7822347206271,N,Y,50,N,N,0
JFK,4,Terminal 4,,,29,T4-B29,Gate B29,16,40.64023724213606; -73.78199598785073,N,Y,50,N,N,0
JFK,4,Terminal 4,,,30,T4-B30,Gate B30,17,40.64026661758812; -73.7818113608795,N,Y,50,N,N,0
JFK,4,Terminal 4,,,31,T4-B31,Gate B31,18,40.639829306630524; -73.7817651837394,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-20,T4-DL Sky Club,DL Sky Club,65,40.63935548280693; -73.78138812140449,N,Y,50,N,N,0
JFK,4,Terminal 4,,,32,T4-B32,Gate B32,19,40.63846610336739; -73.78130309872243,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-21,T4-DL Tech Ops,DL Tech Ops,66,40.63847361182174; -73.78122838053011,N,Y,50,N,N,0
JFK,4,Terminal 4,,,33,T4-B33,Gate B33,20,40.63857272140104; -73.78123408411027,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-22,T4-DL Ramp Break Room,DL Ramp Break Room,61,40.63850875879503; -73.78126099021715,N,Y,50,N,N,0
JFK,4,Terminal 4,,,34,T4-B34,Gate B34,21,40.63850020763423; -73.78119554505399,N,Y,50,N,N,0
JFK,4,Terminal 4,,,35,T4-B35,Gate B35,22,40.63832330840461; -73.78121480732821,N,Y,50,N,N,0
JFK,4,Terminal 4,,,36,T4-B36,Gate B36,23,40.63769193503804; -73.7810846423006,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-23,T4-IFS Lounge,IFS Lounge,73,40.63766902769463; -73.78107561753356,N,Y,50,N,N,0
JFK,4,Terminal 4,,,37,T4-B37,Gate B37,24,40.637867726784535; -73.78109990188072,N,Y,50,N,N,0
JFK,4,Terminal 4,,,-24,T4-DL Ramp Break Room B37,DL Ramp Break Room B37,62,40.63781781302685; -73.7810520886105,N,Y,50,N,N,0
JFK,4,Terminal 4,,,38,T4-B38,Gate B38,25,40.63748749539826; -73.78104695030773,N,Y,50,N,N,0
