terminal,concourse,gate,imageX,imageY
B,A,-1,,
B,A,30,,
B,A,31,,
B,A,29,,
B,A,28,,
B,A,26,,
B,A,27,,
B,A,25,,
B,A,24,,
B,B,-1,,
B,B,-2,,
B,B,-3,,
B,B,-4,,
B,B,-5,,
B,B,42,,
B,B,43,,
B,B,44,,
B,B,45,,
B,B,46,,
B,B,47,,
B,B,-6,,
B,B,58,,
B,B,59,,
B,B,48,,
B,B,49,,
B,B,57,,
B,B,56,,
B,B,54,,
B,B,55,,
B,B,53,,
B,B,51,,
B,B,52,,
B,B,50,,
B,D,2,,
B,D,1,,
B,D,4,,
B,D,6,,
B,D,3,,
B,D,5,,
B,D,7,,
B,D,8,,
B,D,9,,
B,D,10,,
B,D,-1,,
B,Pre,-1,,
B,Pre,-2,,
B,Pre,-3,,
B,Pre,-4,,
B,Pre,-5,,
B,Pre,-6,,
B,Pre,-7,,
B,Pre,-8,,
B,Pre,-9,,
B,Pre,-10,,
B,Pre,-11,,
B,Pre,-12,,
B,Pre,-23,,
B,Pre,-13,,
B,Pre,-14,,
B,Pre,-15,,
B,Pre,-16,,
B,Pre,-17,,
B,Pre,-18,,
B,Pre,-19,,
B,Pre,-20,,
B,Pre,-21,,
B,Pre,-22,,
B,PG,-1,,
