,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-23,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22
-1,,20.5,,,,,,,,,,,,,,,,,,,,,
-2,20.5,,10,,,,,,,,,,,,,,,,,,,,
-3,,10,,9,,,,,,,,,,,,,,,,,,,
-4,,,9,,1,,,,,,,,,,,,,,,,,,
-5,,,,1,,6,,,,,,,,,,,,,,,,,
-6,,,,,6,,0.5,,,,,,,,,,,,,,,,
-7,,,,,,0.5,,1,,,,,,,,,,,,,,,
-8,,,,,,,1,,12.5,,,,,,,,,,,,,,
-9,,,,,,,,12.5,,1,,,,,,,,,,,,,
-10,,,,,,,,,1,,1,,,,,,,,,,,,
-11,,,,,,,,,,1,,1,,,,,,,,,,,
-12,,,,,,,,,,,1,,16,,,,,,,,,,
-23,,,,,,,,,,,,16,,10,,,,,,,,,
-13,,,,,,,,,,,,,10,,5.5,,,,,,,,
-14,,,,,,,,,,,,,,5.5,,1,,,,,,,
-15,,,,,,,,,,,,,,,1,,5.5,,,,,,
-16,,,,,,,,,,,,,,,,5.5,,11.5,,,,,
-17,,,,,,,,,,,,,,,,,11.5,,10,,,,
-18,,,,,,,,,,,,,,,,,,10,,2,,,
-19,,,,,,,,,,,,,,,,,,,2,,2,,
-20,,,,,,,,,,,,,,,,,,,,2,,13.5,
-21,,,,,,,,,,,,,,,,,,,,,13.5,,10
-22,,,,,,,,,,,,,,,,,,,,,,10,
