fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
B,D,B,A,2,-1,17,N,
B,D,B,B,2,-1,26,N,
B,D,B,Pre,2,-1,37,N,
B,D,B,PG,2,-1,45,N,
B,A,B,D,-1,2,17,N,
B,A,B,B,-1,-1,29,N,
B,A,B,Pre,-1,-3,39,N,
B,A,B,PG,-1,-1,40,N,
B,B,B,D,-1,2,26,N,
B,B,B,A,-1,-1,26,N,
B,B,B,Pre,-1,-3,10,N,
B,B,B,PG,-1,-1,20,N,
B,Pre,B,A,-3,-1,39,Y,
B,Pre,B,B,-3,-1,10,Y,
B,Pre,B,D,-3,2,37,Y,
B,Pre,B,PG,-3,-1,15,N,
B,PG,B,D,-1,2,45,Y,
B,PG,B,A,-1,-1,40,Y,
B,PG,B,B,-1,-1,20,Y,
B,PG,B,Pre,-1,-3,15,N,
