,1,2,3,-1,4,5,6,7,8,9,10,11,-2,12,-3,13,14,15,-4,16,17,18,19,20,21,22,23,24,25,26,27,-5
1,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,,,3,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,7.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,1,,6.5,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,6.5,,1,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,1,,3.5,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,3.5,,1,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,
-2,,,,,,,,,,,,2,,11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,11,,6,,,,,,,,,,,,,,,,,
-3,,,,,,,,,,,,,,6,,6.5,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,6.5,,7,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
-4,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,6,,5.5,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,5.5,,1,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
