,-1,1,2,3,4,5,-2,-3,-4,-5,-6,6,7,8,9,10,11,12,13,14,15,16
-1,,8,,,,,,,,,,,,,,,,,,,,
1,8,,2,,,,,,,,,,,,,,,,,,,
2,,2,,1,,,,,,,,,,,,,,,,,,
3,,,1,,2,,,,,,,,,,,,,,,,,
4,,,,2,,3,,,,,,,,,,,,,,,,
5,,,,,3,,5,,,,,,,,,,,,,,,
-2,,,,,,5,,2.5,,,,,,,,,,,,,,
-3,,,,,,,2.5,,2,,,,,,,,,,,,,
-4,,,,,,,,2,,1,,,,,,,,,,,,
-5,,,,,,,,,1,,5.5,,,,,,,,,,,
-6,,,,,,,,,,5.5,,1.5,,,,,,,,,,
6,,,,,,,,,,,1.5,,3.5,,,,,,,,,
7,,,,,,,,,,,,3.5,,2.5,,,,,,,,
8,,,,,,,,,,,,,2.5,,1,,,,,,,
9,,,,,,,,,,,,,,1,,1,,,,,,
10,,,,,,,,,,,,,,,1,,3,,,,,
11,,,,,,,,,,,,,,,,3,,3,,,,
12,,,,,,,,,,,,,,,,,3,,1,,,
13,,,,,,,,,,,,,,,,,,1,,1,,
14,,,,,,,,,,,,,,,,,,,1,,1,
15,,,,,,,,,,,,,,,,,,,,1,,1
16,,,,,,,,,,,,,,,,,,,,,1,
