,-1,-2,-27,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26
-1,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
-2,4.5,,2,,,,,,,,,,,,,,,,,,,,,,,,
-27,,2,,2,,,,,,,,,,,,,,,,,,,,,,,
-3,,,2,,6,,,,,,,,,,,,,,,,,,,,,,
-4,,,,6,,8.5,,,,,,,,,,,,,,,,,,,,,
-5,,,,,8.5,,3,,,,,,,,,,,,,,,,,,,,
-6,,,,,,3,,1,,,,,,,,,,,,,,,,,,,
-7,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
-8,,,,,,,,1,,6.5,,,,,,,,,,,,,,,,,
-9,,,,,,,,,6.5,,3.5,,,,,,,,,,,,,,,,
-10,,,,,,,,,,3.5,,1,,,,,,,,,,,,,,,
-11,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
-12,,,,,,,,,,,,1,,7,,,,,,,,,,,,,
-13,,,,,,,,,,,,,7,,1,,,,,,,,,,,,
-14,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
-15,,,,,,,,,,,,,,,1,,3.5,,,,,,,,,,
-16,,,,,,,,,,,,,,,,3.5,,14.5,,,,,,,,,
-17,,,,,,,,,,,,,,,,,14.5,,1,,,,,,,,
-18,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
-19,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
-20,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
-21,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
-22,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
-23,,,,,,,,,,,,,,,,,,,,,,,1,,2.5,,
-24,,,,,,,,,,,,,,,,,,,,,,,,2.5,,6.5,
-25,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,1.5
-26,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,
