fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
E,,D,,1,1,12,N,
E,,C,,1,1,12,N,
E,,A,,1,-1,58,N,
E,,B,,1,2,63,N,
E,,k-IH,,1,-1,61,N,
E,,PO,,1,-1,71,N,
E,,SR,,1,-1,42,N,
E,,TC,,1,-1,42,N,
E,,j-MT,,1,-24,8,N,
E,,h-AM,,1,-4,7.5,N,
E,,F,,1,1,18,N,
E,,i-Mezz,,1,-2,4,N,
E,,G,,1,5,20,N,
D,,E,,1,1,12,N,
D,,C,,1,1,7,N,
D,,A,,1,-1,53,N,
D,,B,,1,2,58,N,
D,,k-IH,,1,-1,57,N,
D,,PO,,1,-1,67,N,
D,,SR,,1,-1,43,N,
D,,TC,,1,-1,37,N,
D,,j-MT,,1,-24,13,N,
D,,h-AM,,1,-4,10,N,
D,,F,,1,1,20,N,
D,,i-Mezz,,1,-2,8,N,
D,,G,,1,5,23,N,
C,,D,,1,1,6,N,
C,,E,,1,1,11,N,
C,,A,,1,-1,45,N,
C,,B,,1,2,51,N,
C,,k-IH,,1,-1,50,N,
C,,PO,,1,-1,60,N,
C,,SR,,1,-1,43,N,
C,,TC,,1,-1,37,N,
C,,j-MT,,1,-24,14,N,
C,,h-AM,,1,-4,10,N,
C,,F,,1,1,21,N,
C,,i-Mezz,,1,-2,8,N,
C,,G,,1,5,22,N,
A,,D,,-1,1,51,N,
A,,C,,-1,1,46,N,
A,,E,,-1,1,56,N,
A,,B,,-1,2,7,N,
A,,k-IH,,-1,-1,8,N,
A,,PO,,-1,-1,18,N,
A,,SR,,-1,-1,34,N,
A,,TC,,-1,-1,38,N,
A,,j-MT,,-1,-24,58,N,
A,,h-AM,,-1,-4,57,N,
A,,F,,-1,1,66,N,
A,,i-Mezz,,-1,-2,55,N,
A,,G,,-1,5,68,N,
B,,D,,2,1,57,N,
B,,C,,2,1,51,N,
B,,A,,2,-1,7,N,
B,,E,,2,1,61,N,
B,,k-IH,,2,-1,13,N,
B,,PO,,2,-1,23,N,
B,,SR,,2,-1,40,N,
B,,TC,,2,-1,44,N,
B,,j-MT,,2,-24,64,N,
B,,h-AM,,2,-4,62,N,
B,,F,,2,1,72,N,
B,,i-Mezz,,2,-2,60,N,
B,,G,,2,5,73,N,
k-IH,,D,,-1,1,69,Y,
k-IH,,C,,-1,1,69,Y,
k-IH,,A,,-1,-1,115,Y,
k-IH,,B,,-1,2,121,Y,
k-IH,,E,,-1,-1,67,Y,
k-IH,,PO,,-1,-1,9,N,
k-IH,,SR,,-1,-1,23,N,
k-IH,,TC,,-1,-1,34,N,
k-IH,,j-MT,,-1,-24,55,N,
k-IH,,h-AM,,-1,-4,58,Y,
k-IH,,F,,-1,1,67,Y,
k-IH,,i-Mezz,,-1,-2,64,Y,
k-IH,,G,,-1,5,69,Y,
PO,,D,,-1,1,63,Y,
PO,,C,,-1,1,64,Y,
PO,,A,,-1,-1,109,Y,
PO,,B,,-1,2,114,Y,
PO,,k-IH,,-1,-1,9,N,
PO,,E,,-1,-1,62,Y,
PO,,SR,,-1,-1,14,N,
PO,,TC,,-1,-1,25,N,
PO,,j-MT,,-1,-24,46,N,
PO,,h-AM,,-1,-4,49,Y,
PO,,F,,-1,1,58,Y,
PO,,i-Mezz,,-1,-2,55,Y,
PO,,G,,-1,5,60,Y,
SR,,D,,-1,1,43,Y,
SR,,C,,-1,1,43,Y,
SR,,A,,-1,-1,89,Y,
SR,,B,,-1,2,95,Y,
SR,,k-IH,,-1,-1,15,N,
SR,,PO,,-1,-1,14,N,
SR,,E,,-1,-1,61,Y,
SR,,TC,,-1,-1,6,N,
SR,,j-MT,,-1,-24,32,N,
SR,,h-AM,,-1,-4,34,Y,
SR,,F,,-1,1,44,Y,
SR,,i-Mezz,,-1,-2,39,Y,
SR,,G,,-1,5,46,Y,
TC,,D,,-1,1,37,Y,
TC,,C,,-1,1,37,Y,
TC,,A,,-1,-1,83,Y,
TC,,B,,-1,2,89,Y,
TC,,k-IH,,-1,-1,34,N,
TC,,PO,,-1,-1,25,N,
TC,,SR,,-1,-1,6,N,
TC,,E,,-1,-1,42,Y,
TC,,j-MT,,-1,-24,26,N,
TC,,h-AM,,-1,-4,28,Y,
TC,,F,,-1,1,38,Y,
TC,,i-Mezz,,-1,-2,32,Y,
TC,,G,,-1,5,39,Y,
j-MT,,D,,-24,1,13,Y,
j-MT,,C,,-24,1,14,Y,
j-MT,,A,,-24,-1,58,Y,
j-MT,,B,,-24,2,64,Y,
j-MT,,k-IH,,-24,-1,55,Y,
j-MT,,PO,,-24,-1,46,Y,
j-MT,,SR,,-24,-1,32,N,
j-MT,,TC,,-24,-1,26,N,
j-MT,,E,,-24,1,8,Y,
j-MT,,h-AM,,-24,-4,2,Y,
j-MT,,F,,-24,1,12,Y,
j-MT,,i-Mezz,,-24,-2,9,Y,
j-MT,,G,,-24,5,14,Y,
h-AM,,D,,-4,1,10,N,
h-AM,,C,,-4,1,10,N,
h-AM,,A,,-4,-1,57,N,
h-AM,,B,,-4,2,62,N,
h-AM,,k-IH,,-4,-1,58,N,
h-AM,,PO,,-4,-1,49,N,
h-AM,,SR,,-4,-1,34,N,
h-AM,,TC,,-4,-1,28,N,
h-AM,,j-MT,,-4,-24,2,N,
h-AM,,E,,-4,-4,7.5,N,
h-AM,,F,,-4,1,10,N,
h-AM,,i-Mezz,,-4,-2,7,N,
h-AM,,G,,-4,5,12,N,
F,,D,,1,1,18,N,
F,,C,,1,1,20,N,
F,,A,,1,-1,66,N,
F,,B,,1,2,72,N,
F,,k-IH,,1,-1,71,N,
F,,PO,,1,-1,81,N,
F,,SR,,1,-1,44,N,
