airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
MSP,A,Concourse A,,,-1,T1-A-Upper A1 Tower,Upper A1 Tower,13,44.880737299999986; -93.20070647999997,N,Y,50,N,N,0
MSP,A,Concourse A,,,2,T1-A2,Gate 2,1,44.882053395672465; -93.2016192371364,Y,Y,50,N,N,0
MSP,A,Concourse A,,,3,T1-A3,Gate 3,2,44.88200983382092; -93.20137942260614,N,Y,50,N,N,0
MSP,A,Concourse A,,,4,T1-A4,Gate 4,3,44.88200983382092; -93.20137942260614,N,Y,50,N,N,0
MSP,A,Concourse A,,,5,T1-A5,Gate 5,4,44.88200983382092; -93.20137942260614,N,Y,50,N,N,0
MSP,A,Concourse A,,,6,T1-A6,Gate 6,5,44.88200983382092; -93.20137942260614,N,Y,50,N,N,0
MSP,A,Concourse A,,,7,T1-A7,Gate 7,6,44.88196864590968; -93.20119906016103,N,Y,50,N,N,0
MSP,A,Concourse A,,,8,T1-A8,Gate 8,7,44.8819616904585; -93.2011819771197,N,Y,50,N,N,0
MSP,A,Concourse A,,,9,T1-A9,Gate 9,8,44.8819616904585; -93.2011819771197,N,Y,50,N,N,0
MSP,A,Concourse A,,,11,T1-A11,Gate 11,9,44.88196073771273; -93.20118883059337,N,Y,50,N,N,0
MSP,A,Concourse A,,,12,T1-A12,Gate 12,10,44.88196073771273; -93.20118883059337,N,Y,50,N,N,0
MSP,A,Concourse A,,,13,T1-A13,Gate 13,11,44.88196120969907; -93.20119239844217,N,Y,50,N,N,0
MSP,A,Concourse A,,,14,T1-A14,Gate 14,12,44.88196120969907; -93.20119239844217,N,Y,50,N,N,0
MSP,B,Concourse B,,,2,T1-B2,Gate 2,1,44.88196182055706; -93.20119475612397,N,Y,50,N,N,0
MSP,B,Concourse B,,,4,T1-B4,Gate 4,2,44.88196182055706; -93.20119475612397,N,Y,50,N,N,0
MSP,B,Concourse B,,,6,T1-B6,Gate 6,3,44.88196182055706; -93.20119475612397,N,Y,50,N,N,0
MSP,B,Concourse B,,,8,T1-B8,Gate 8,4,44.88196182055706; -93.20119475612397,N,Y,50,N,N,0
MSP,B,Concourse B,,,10,T1-B10,Gate 10,5,44.88196182055706; -93.20119475612397,N,Y,50,N,N,0
MSP,B,Concourse B,,,12,T1-B12,Gate 12,6,44.881961820779026; -93.2011947510016,N,Y,50,N,N,0
MSP,B,Concourse B,,,14,T1-B14,Gate 14,7,44.881961820779026; -93.2011947510016,N,Y,50,N,N,0
MSP,B,Concourse B,,,15,T1-B15,Gate 15,8,44.881961820779026; -93.2011947510016,N,Y,50,N,N,0
MSP,B,Concourse B,,,16,T1-B16,Gate 16,9,44.881961820779026; -93.2011947510016,N,Y,50,N,N,0
MSP,C,Concourse C,,,1,T1-C1,Gate 1,1,44.88093336332588; -93.20099916695551,N,Y,50,N,N,0
MSP,C,Concourse C,,,2,T1-C2,Gate 2,2,44.88093336332588; -93.20099916695551,N,Y,50,N,N,0
MSP,C,Concourse C,,,3,T1-C3,Gate 3,3,44.88093336332588; -93.20099916695551,N,Y,50,N,N,0
MSP,C,Concourse C,,,-1,T1-Lower C3 Elevator,Lower C3 Elevator,4,44.88687109422273; -93.21041071546342,N,Y,50,N,N,0
MSP,C,Concourse C,,,4,T1-C4,Gate 4,5,44.88093336332588; -93.20099916695551,N,Y,50,N,N,0
MSP,C,Concourse C,,,5,T1-C5,Gate 5,6,44.88093336332588; -93.20099916695551,N,Y,50,N,N,0
MSP,C,Concourse C,,,6,T1-C6,Gate 6,7,44.88093336332588; -93.20099916695551,N,Y,50,N,N,0
MSP,C,Concourse C,,,7,T1-C7,Gate 7,8,44.88093336332588; -93.20099916695551,N,Y,50,N,N,0
MSP,C,Concourse C,,,8,T1-C8,Gate 8,9,44.880737510316195; -93.20070691119214,N,Y,50,N,N,0
MSP,C,Concourse C,,,9,T1-C9,Gate 9,10,44.880737510316195; -93.20070691119214,N,Y,50,N,N,0
MSP,C,Concourse C,,,10,T1-C10,Gate 10,11,44.880737510316195; -93.20070691119214,N,Y,50,N,N,0
MSP,C,Concourse C,,,11,T1-C11,Gate 11,12,44.88073734695274; -93.20070657626292,N,Y,50,N,N,0
MSP,C,Concourse C,,,-2,T1-Lower C11,Lower C11,13,44.881024814272834; -93.20038011808022,N,Y,50,N,N,0
MSP,C,Concourse C,,,12,T1-C12,Gate 12,14,44.880737419116215; -93.20070628035795,N,Y,50,N,N,0
MSP,C,Concourse C,,,-3,T1-Delta SkyZone (Upper C),Delta SkyZone (Upper C),15,44.88073361567596; -93.20069090575964,N,Y,50,N,N,0
MSP,C,Concourse C,,,13,T1-C13,Gate 13,16,44.8807372986942; -93.20070648218851,N,Y,50,N,N,0
MSP,C,Concourse C,,,14,T1-C14,Gate 14,17,44.8807372986942; -93.20070648218851,N,Y,50,N,N,0
MSP,C,Concourse C,,,15,T1-C15,Gate 15,18,44.8807372986942; -93.20070648218851,N,Y,50,N,N,0
MSP,C,Concourse C,,,-4,T1-Lower C15 - EE Breakroom,Lower C15 - EE Breakroom,19,44.8807372986942; -93.20070648218851,N,Y,50,N,N,0
MSP,C,Concourse C,,,16,T1-C16,Gate 16,20,44.88073730002359; -93.2007064799604,N,Y,50,N,N,0
MSP,C,Concourse C,,,17,T1-C17,Gate 17,21,44.88073730002359; -93.2007064799604,N,Y,50,N,N,0
MSP,C,Concourse C,,,18,T1-C18,Gate 18,22,44.88073730002359; -93.2007064799604,N,Y,50,N,N,0
MSP,C,Concourse C,,,19,T1-C19,Gate 19,23,44.88073730000649; -93.20070647998907,N,Y,50,N,N,0
MSP,C,Concourse C,,,20,T1-C20,Gate 20,24,44.88073730000649; -93.20070647998907,N,Y,50,N,N,0
MSP,C,Concourse C,,,21,T1-C21,Gate 21,25,44.88073730000649; -93.20070647998907,N,Y,50,N,N,0
MSP,C,Concourse C,,,22,T1-C22,Gate 22,26,44.88073730000214; -93.20070647999636,N,Y,50,N,N,0
MSP,C,Concourse C,,,23,T1-C23,Gate 23,27,44.88073730000214; -93.20070647999636,N,Y,50,N,N,0
MSP,C,Concourse C,,,24,T1-C24,Gate 24,28,44.88073730000214; -93.20070647999636,N,Y,50,N,N,0
MSP,C,Concourse C,,,25,T1-C25,Gate 25,29,44.88073730000133; -93.2007064799977,N,Y,50,N,N,0
MSP,C,Concourse C,,,26,T1-C26,Gate 26,30,44.88073730000133; -93.2007064799977,N,Y,50,N,N,0
MSP,C,Concourse C,,,27,T1-C27,Gate 27,31,44.88073730000133; -93.2007064799977,N,Y,50,N,N,0
MSP,C,Concourse C,,,-5,T1-Lower C27 DGS,Lower C27 DGS,32,44.880737299999986; -93.20070647999997,N,Y,50,N,N,0
MSP,D,Concourse D,,,1,T1-D1,Gate 1,1,44.880720445057186; -93.20063490532176,N,Y,50,N,N,0
MSP,D,Concourse D,,,2,T1-D2,Gate 2,2,44.880720445057186; -93.20063490532176,N,Y,50,N,N,0
MSP,D,Concourse D,,,3,T1-D3,Gate 3,3,44.880720445057186; -93.20063490532176,N,Y,50,N,N,0
MSP,D,Concourse D,,,4,T1-D4,Gate 4,4,44.880720445057186; -93.20063490532176,N,Y,50,N,N,0
MSP,D,Concourse D,,,5,T1-D5,Gate 5,5,44.880720445057186; -93.20063490532176,N,Y,50,N,N,0
MSP,D,Concourse D,,,6,T1-D6,Gate 6,6,44.880720445057186; -93.20063490532176,N,Y,50,N,N,0
MSP,E,Concourse E,,,-1,T1-Lower E4 Elevator,Lower E4 Elevator,19,44.884063719999986; -93.21400450999995,N,Y,50,N,N,0
MSP,E,Concourse E,,,-2,T1-E-United Breakroom,United Breakroom (E-1278A/E-1331),20,44.88406372013064; -93.21400451032956,N,Y,50,N,N,0
MSP,E,Concourse E,,,-3,T1-E-AYG Office,AYG Office,18,44.884063719558526; -93.21400450888625,N,Y,50,N,N,0
MSP,E,Concourse E,,,-4,T1-E-AA Admin Offices/Breakroom,AA Admin Offices/Breakroom (Lower E4),17,44.88406372013064; -93.21400451032956,N,Y,50,N,N,0
MSP,E,Concourse E,,,11,T1-E11,Gate 11,11,44.886777665569944; -93.21226975918576,N,Y,50,N,N,0
MSP,E,Concourse E,,,12,T1-E12,Gate 12,12,44.886777665569944; -93.21226975918576,N,Y,50,N,N,0
MSP,E,Concourse E,,,13,T1-E13,Gate 13,13,44.886777665569944; -93.21226975918576,N,Y,50,N,N,0
MSP,E,Concourse E,,,14,T1-E14,Gate 14,14,44.886777665569944; -93.21226975918576,N,Y,50,N,N,0
MSP,E,Concourse E,,,15,T1-E15,Gate 15,15,44.886777665569944; -93.21226975918576,N,Y,50,N,N,0
MSP,E,Concourse E,,,16,T1-E16,Gate 16,16,44.886777665569944; -93.21226975918576,N,Y,50,N,N,0
MSP,E,Concourse E,,,8,T1-E8,Gate 8,8,44.88426655460135; -93.21493310960311,N,Y,50,N,N,0
MSP,E,Concourse E,,,9,T1-E9,Gate 9,9,44.88426655460135; -93.21493310960311,N,Y,50,N,N,0
