terminal,concourse,gate,imageX,imageY
C,,-1,,
C,,-2,,
C,,-3,,
C,,-4,,
C,,-5,,
C,,3,,
C,,-6,,
C,,5,,
C,,6,,
C,,7,,
C,,-7,,
C,,8,,
C,,9,,
C,,10,,
C,,11,,
C,,-8,,
C,,-9,,
C,,-10,,
C,,-11,,
C,,12,,
C,,13,,
C,,14,,
C,,15,,
C,,16,,
C,,-12,,
C,,-13,,
C,,-14,,
C,,17,,
C,,18,,
C,,-15,,
C,,19,,
C,,20,,
C,,21,,
C,,22,,
C,,23,,
C,,-16,,
C,,-17,,
C,,-18,,
C,,-19,,
C,,-20,,
D,,-1,,
D,,-2,,
D,,-3,,
D,,-4,,
D,,5,,
D,,-5,,
D,,6,,
D,,-6,,
D,,-7,,
D,,-8,,
D,,-9,,
D,,7,,
D,,8,,
D,,9,,
D,,-10,,
D,,10,,
D,,11,,
D,,-11,,
D,,12,,
D,,13,,
D,,14,,
D,,15,,
D,,-12,,
D,,-13,,
D,,-14,,
E,,-1,,
E,,-2,,
E,,2,,
E,,3,,
E,,-3,,
E,,4,,
E,,5,,
E,,6,,
E,,7,,
E,,-4,,
E,,8,,
E,,9,,
E,,10,,
E,,-5,,
E,,-6,,
E,,11,,
E,,12,,
E,,13,,
Pre,,-1,,
Pre,,-2,,
Pre,,-3,,
Pre,,-4,,
Pre,,-5,,
Pre,,-6,,
Pre,,-7,,
Pre,,-8,,
Pre,,-9,,
Pre,,-10,,
Pre,,-11,,
Pre,,-12,,
Pre,,-13,,
Pre,,-14,,
Pre,,-15,,
Pre,,-16,,
Pre,,-17,,
Pre,,-18,,
Pre,,-19,,
Pre,,-20,,
Pre,,-21,,
Pre,,-22,,
Pre,,-23,,
Pre,,-24,,
Pre,,-25,,
Pre,,-26,,
Pre,,-27,,
Pre,,-28,,
Pre,,-29,,
Pre,,-30,,
Pre,,-31,,
Pre,,-32,,
Pre,,-33,,
Pre,,-34,,
Pre,,-35,,
Pre,,-36,,
Pre,,-37,,
