,-1,-2,-3,-4,5,-5,6,-6,-7,-8,-9,7,8,9,-10,10,11,-11,12,13,14,15,-12,-13,-14
-1,,2.5,,,,,,,,,,,,,,,,,,,,,,,
-2,2.5,,12.5,,,,,,,,,,,,,,,,,,,,,,
-3,,12.5,,11.5,,,,,,,,,,,,,,,,,,,,,
-4,,,11.5,,6,,,,,,,,,,,,,,,,,,,,
5,,,,6,,2.5,,,,,,,,,,,,,,,,,,,
-5,,,,,2.5,,4,,,,,,,,,,,,,,,,,,
6,,,,,,4,,3,,,,,,,,,,,,,,,,,
-6,,,,,,,3,,3,,,,,,,,,,,,,,,,
-7,,,,,,,,3,,2.5,,,,,,,,,,,,,,,
-8,,,,,,,,,2.5,,4,,,,,,,,,,,,,,
-9,,,,,,,,,,4,,4,,,,,,,,,,,,,
7,,,,,,,,,,,4,,0.5,,,,,,,,,,,,
8,,,,,,,,,,,,0.5,,1,,,,,,,,,,,
9,,,,,,,,,,,,,1,,0.5,,,,,,,,,,
-10,,,,,,,,,,,,,,0.5,,1,,,,,,,,,
10,,,,,,,,,,,,,,,1,,1,,,,,,,,
11,,,,,,,,,,,,,,,,1,,0.5,,,,,,,
-11,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,
12,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,
13,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,
14,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,
15,,,,,,,,,,,,,,,,,,,,,0.5,,9,,
-12,,,,,,,,,,,,,,,,,,,,,,9,,1,
-13,,,,,,,,,,,,,,,,,,,,,,,1,,7
-14,,,,,,,,,,,,,,,,,,,,,,,,7,
