,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37
-1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,,0.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,,,3.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6,,,,,0.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9,,,,,,,,3,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,,,,,,,,,1.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
-11,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
-12,,,,,,,,,,,0.5,,3,,,,,,,,,,,,,,,,,,,,,,,,
-13,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,
-14,,,,,,,,,,,,,1,,5.5,,,,,,,,,,,,,,,,,,,,,,
-15,,,,,,,,,,,,,,5.5,,1.5,,,,,,,,,,,,,,,,,,,,,
-16,,,,,,,,,,,,,,,1.5,,0.5,,,,,,,,,,,,,,,,,,,,
-17,,,,,,,,,,,,,,,,0.5,,2.5,,,,,,,,,,,,,,,,,,,
-18,,,,,,,,,,,,,,,,,2.5,,6,,,,,,,,,,,,,,,,,,
-19,,,,,,,,,,,,,,,,,,6,,0.5,,,,,,,,,,,,,,,,,
-20,,,,,,,,,,,,,,,,,,,0.5,,9.5,,,,,,,,,,,,,,,,
-21,,,,,,,,,,,,,,,,,,,,9.5,,3.5,,,,,,,,,,,,,,,
-22,,,,,,,,,,,,,,,,,,,,,3.5,,1,,,,,,,,,,,,,,
-23,,,,,,,,,,,,,,,,,,,,,,1,,9.5,,,,,,,,,,,,,
-24,,,,,,,,,,,,,,,,,,,,,,,9.5,,4,,,,,,,,,,,,
-25,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,
-26,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,
-27,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,
-28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,
-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0.5,,,,,,,
-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,
-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1,,,,,
-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.5,,,,
-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1,,,
-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.5,
-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,23.5
-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,
