airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
PDX,C,Concourse C,,,-1,B-C Security Checkpoint,B-C Sec Checkpoint,28,45.590842605039235; -122.59848044554214,N,Y,50,N,N,
PDX,C,Concourse C,,,-2,C-Kiehl's,Kiehl's,37,45.590842605039235; -122.59848044554214,N,Y,50,N,N,
PDX,C,Concourse C,,,-3,C-D-Concourse Connector,C & D Connector,29,45.59084260503928; -122.59848044554208,N,Y,50,N,N,
PDX,C,Concourse C,,,-4,Lower C1-Horizon Bagwell,QX Bagwell C1,31,45.590831074337906; -122.59849641580587,N,Y,50,N,N,
PDX,C,Concourse C,,,-5,C-Soundbalance,Soundbalance,40,45.59083107433782; -122.59849641580594,N,Y,50,N,N,
PDX,C,Concourse C,,,3,C3,Gate C3,1,45.59083107433782; -122.59849641580594,Y,N,50,N,N,
PDX,C,Concourse C,,,-6,C-Alaska Lounge,Alaska Lounge,25,45.59083107433782; -122.59849641580594,N,Y,50,N,N,
PDX,C,Concourse C,,,5,C5,Gate C5,2,45.59083107433782; -122.59849641580594,N,Y,50,N,N,
PDX,C,Concourse C,,,6,C6,Gate C6,3,45.59083107433782; -122.59849641580594,N,Y,50,N,N,
PDX,C,Concourse C,,,7,C7,Gate C7,4,45.59083107433782; -122.59849641580594,N,Y,50,N,N,
PDX,C,Concourse C,,,-7,C-Food Court,Food Court C ,30,45.59083107433782; -122.59849641580594,N,Y,50,N,N,
PDX,C,Concourse C,,,8,C8,Gate C8,5,45.59083107433782; -122.59849641580594,N,Y,50,N,N,
PDX,C,Concourse C,,,9,C9,Gate C9,6,45.59083107433782; -122.59849641580594,N,Y,50,N,N,
PDX,C,Concourse C,,,10,C10,Gate C10,7,45.590831735623226; -122.59849549991209,N,Y,50,N,N,
PDX,C,Concourse C,,,11,C11,Gate C11,8,45.59083173799162; -122.59849549663183,N,Y,50,N,N,
PDX,C,Concourse C,,,-8,C-Horizon Inflight/Flight OPS Lower C-12035,QX Inflgt OPS (C-12035),32,45.59084802407818; -122.59856295872625,N,Y,50,N,N,
PDX,C,Concourse C,,,-9,C-Alaska/Horizon Village- Lower C-12245,AS/QX Village (C-12245),23,45.59084859066478; -122.59856531043913,N,Y,50,N,N,
PDX,C,Concourse C,,,-10,C-Alaska Operations Office - Lower C-12415,AS OPS Office  (C-12415),26,45.59084952147953; -122.59856917394194,N,Y,50,N,N,
PDX,C,Concourse C,,,-11,C-Alaska Inflight Crew - Lower C-12543,AS Crew Lng (C-12543),24,45.59084952147953; -122.59856917394194,N,Y,50,N,N,
PDX,C,Concourse C,,,12,C12,Gate C12,9,45.590831764857036; -122.59849554160934,N,Y,50,N,N,
PDX,C,Concourse C,,,13,C13,Gate C13,10,45.590831749975294; -122.59849547989765,N,Y,50,N,N,
PDX,C,Concourse C,,,14,C14,Gate C14,11,45.59072547450711; -122.59826047680261,N,Y,50,N,N,
PDX,C,Concourse C,,,15,C15,Gate C15,12,45.59081000005855; -122.59844738518471,N,Y,50,N,N,
PDX,C,Concourse C,,,16,C16,Gate C16,13,45.59081000005855; -122.59844738518471,N,Y,50,N,N,
PDX,C,Concourse C,,,-12,C-Alaska/Horizon Station Leadership - Lower C12917,AS/QX St Mgr (C12917),21,45.59049814120172; -122.59824819196862,N,Y,50,N,N,
PDX,C,Concourse C,,,-13,C-Alaska/Horizon Training Room- Lower C-13035,AS/QX Trn Rm (C-13035),22,45.59049814120171; -122.59824819196857,N,Y,50,N,N,
PDX,C,Concourse C,,,-14,C-SkyWest Crew Lounge Lower C-13139,OO Crew Lnge (C-13139),39,45.59049814120171; -122.59824819196857,N,Y,50,N,N,
