,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,3,4,5,6,7,8,9,10,-17,11,12,13,14,15,16,17,18,-18,-19,
-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,1,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5,,,,1.5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6,,,,,9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,,,,,,4,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8,,,,,,,25.5,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9,,,,,,,,5.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,,,,,,,,,1.5,,6,,,,,,,,,,,,,,,,,,,,,,,,,
-11,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,
-12,,,,,,,,,,,2,,43.5,,,,,,,,,,,,,,,,,,,,,,,
-13,,,,,,,,,,,,43.5,,4.5,,,,,,,,,,,,,,,,,,,,,,
-14,,,,,,,,,,,,,4.5,,3,,,,,,,,,,,,,,,,,,,,,
-15,,,,,,,,,,,,,,3,,2.5,,,,,,,,,,,,,,,,,,,,
-16,,,,,,,,,,,,,,,2.5,,13.5,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,13.5,,3.5,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,3.5,,1,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,1,,1.5,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,1.5,,1,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,1,,1.5,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,1.5,,1,,,,,,,,,,,
-17,,,,,,,,,,,,,,,,,,,,,,,,1,,28,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,28,,3,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.5,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.5,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1,,
-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,
-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
