airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
SAN,1,Terminal 1,,,-1,T1-Frontier Tix,Frontier Tix,19,32.73201424789143; -117.19815820819612,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-2,T1-Sun Country Tix,Sun Country Tix,29,32.73201424789143; -117.19815820819612,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-3,T1-Spirit Tix Counter,Spirit Tix Counter,28,32.73201424789143; -117.19815820819612,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-4,T1-JB Tix Counter,JB Tix Counter,21,32.73201424789143; -117.19815820819612,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-5,T1-SWA Bag Claim,SWA Bag Claim,23,32.73199443359141; -117.1971760536861,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-6,T1-SWA Tix Counter,SWA Tix Counter,27,32.73529985745722; -117.19084675704228,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-7,T1-United Cargo,United Cargo,34,32.731811310723; -117.19417962580897,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-8,T1-SWA Cargo,SWA Cargo,24,32.73181850195542; -117.19421098668015,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-9,T1-SWA Provision,SWA Provision,22,32.73181850195542; -117.19421098668015,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-10,T1-ALA Air Cargo,ALA Air Cargo,17,32.73081057519472; -117.19463843817717,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-11,T1-Delta Cargo,Delta Cargo,18,32.73080094955324; -117.19467422814361,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-12,T1-TSA B2,TSA B2,30,32.732040400025475; -117.1965464532605,N,Y,50,N,N,0
SAN,1,Terminal 1,,,-13,T1-SWA Ramp Sup Office,SWA Ramp Sup Office,26,32.732907740349546; -117.19667657730412,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-14,T1-SWA OPS Office,SWA OPS Office,24,32.7329123323324; -117.19616145444185,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-15,T1-SWA Ramp Break ,SWA Ramp Break ,25,32.732879746659826; -117.19651260892248,N,Y,50,Y,N,0
SAN,1,Terminal 1,,,-16,T1-TSA P2,TSA P2,32,32.73198231003209; -117.19719704733717,N,Y,50,N,N,0
SAN,1,Terminal 1,,,3,T1-3,Gate 3,1,32.73255061096414; -117.19651130776853,Y,Y,50,N,N,0
SAN,1,Terminal 1,,,4,T1-4,Gate 4,2,32.73273244797272; -117.1961429505864,N,Y,50,N,N,0
SAN,1,Terminal 1,,,5,T1-5,Gate 5,3,32.73273244797272; -117.1961429505864,N,Y,50,N,N,0
SAN,1,Terminal 1,,,6,T1-6,Gate 6,4,32.73273244797272; -117.1961429505864,N,Y,50,N,N,0
SAN,1,Terminal 1,,,7,T1-7,Gate 7,5,32.73289028555311; -117.1960803215645,N,Y,50,N,N,0
SAN,1,Terminal 1,,,8,T1-8,Gate 8,6,32.73289028555311; -117.1960803215645,N,Y,50,N,N,0
SAN,1,Terminal 1,,,9,T1-9,Gate 9,7,32.73291261279514; -117.1962597940574,N,Y,50,N,N,0
SAN,1,Terminal 1,,,10,T1-10,Gate 10,8,32.73291261279514; -117.1962597940574,N,Y,50,N,N,0
SAN,1,Terminal 1,,,-17,T1-TSA P3,TSA P3,33,32.73414114425618; -117.19820853912834,N,Y,50,N,N,0
SAN,1,Terminal 1,,,11,T1-11,Gate 11,9,32.733151144076615; -117.19814676112141,N,Y,50,N,N,0
SAN,1,Terminal 1,,,12,T1-12,Gate 12,10,32.73324092288847; -117.19813486161448,N,Y,50,N,N,0
SAN,1,Terminal 1,,,13,T1-13,Gate 13,11,32.73321635516717; -117.19828580453591,N,Y,50,N,N,0
SAN,1,Terminal 1,,,14,T1-14,Gate14,12,32.73321635516717; -117.19828580453591,N,Y,50,N,N,0
SAN,1,Terminal 1,,,15,T1-15,Gate 15,13,32.73321635516717; -117.19828580453591,N,Y,50,N,N,0
SAN,1,Terminal 1,,,16,T1-16,Gate 16,14,32.73321635516717; -117.19828580453591,N,Y,50,N,N,0
SAN,1,Terminal 1,,,17,T1-17,Gate 17,15,32.73329720106656; -117.19860707074699,N,Y,50,N,N,0
SAN,1,Terminal 1,,,18,T1-18,Gate 18,16,32.73329720106656; -117.19860707074699,N,Y,50,N,N,0
SAN,1,Terminal 1,,,-18,T1-TSA B3,TSA B3,31,32.733518156859915; -117.19891944152076,N,Y,50,N,N,0
SAN,1,Terminal 1,,,-19,T1-GAT Break Room,GAT Break Room,20,32.73473277307315; -117.20674082625425,N,Y,50,Y,N,0
SAN,2,Terminal 2,,,51,T2-51,Gate 51,32,32.73232080672587; -117.20630534732905,N,Y,50,N,N,0
SAN,2,Terminal 2,,,50,T2-50,Gate 50,31,32.73232080672587; -117.20630534732905,N,Y,50,N,N,0
