terminal,concourse,gate,imageX,imageY
A,,1,,
A,,3,,
A,,4,,
A,,5,,
A,,6,,
A,,7,,
A,,8,,
A,,9,,
A,,10,,
A,,11,,
A,,12,,
A,,14,,
A,,15,,
A,,16,,
A,,17,,
A,,18,,
A,,-1,,
A,,-2,,
A,,-3,,
A,,-4,,
C,,30,,
C,,31,,
C,,32,,
C,,33,,
C,,34,,
C,,35,,
C,,36,,
C,,37,,
C,,38,,
C,,39,,
C,,40,,
C,,41,,
C,,42,,
C,,43,,
C,,44,,
C,,45,,
C,,-1,,
C,,-2,,
C,,-3,,
C,,-4,,
E,,62,,
E,,64,,
E,,65,,
E,,66,,
E,,67,,
E,,68,,
E,,69,,
E,,70,,
E,,71,,
E,,72,,
E,,73,,
E,,74,,
E,,75,,
E,,-1,,
E,,-2,,
E,,-3,,
E,,-4,,
E,,-5,,
E,,-6,,
E,,-7,,
E,,-8,,
F,,77,,
F,,78,,
F,,79,,
F,,80,,
F,,81,,
F,,82,,
F,,83,,
F,,84,,
F,,85,,
F,,86,,
F,,87,,
F,,88,,
F,,89,,
F,,90,,
F,,-1,,
F,,-2,,
F,,-3,,
F,,-4,,
F,,-5,,
MT,,-1,,
MT,,-2,,
MT,,-3,,
MT,,-4,,
MT,,-5,,
MT,,-6,,
MT,,-7,,
MT,,-8,,
MT,,-9,,
MT,,-10,,
MT,,-11,,
MT,,-12,,
MT,,-13,,
MT,,-14,,
MT,,-15,,
MT,,-16,,
MT,,-17,,
MT,,-18,,
MT,,-19,,
MT,,-20,,
MT,,-21,,
n-Car,,-1,,
n-Car,,-2,,
n-Car,,-3,,
