fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
A,,C,,1,36,19,Y,
A,,E,,1,68,24.5,Y,
A,,F,,1,-1,26,Y,
A,,MT,,1,-21,17,N,
A,,n-Car,,1,-1,61,N,
C,,A,,36,1,19,Y,
C,,E,,36,68,27.5,Y,
C,,F,,36,85,29,Y,
C,,MT,,36,-21,21,N,
C,,n-Car,,36,-1,65,N,
E,,A,,68,1,24.5,Y,
E,,C,,68,36,27.5,Y,
E,,F,,68,85,13.5,Y,
E,,MT,,68,-21,24,N,
E,,n-Car,,68,-1,76,N,
F,,A,,85,1,26,Y,
F,,C,,85,36,29,Y,
F,,E,,85,68,13.5,Y,
F,,MT,,85,-21,27,N,
F,,n-Car,,85,-1,79,N,
MT,,A,,-21,1,16,Y,
MT,,C,,-21,36,18.5,Y,
MT,,E,,-21,68,15.5,Y,
MT,,F,,-21,85,17,Y,
MT,,n-Car,,-21,-1,73.5,N,
n-Car,,A,,-1,1,61,Y,
n-Car,,C,,-1,36,65,Y,
n-Car,,E,,-1,68,76,Y,
n-Car,,F,,-1,85,79,Y,
n-Car,,MT,,-1,-21,73.5,N,
