airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
TPA,A,Terminal A,,,1,A1,Gate A1,1,27.975942906905296; -82.53241075558019,Y,Y,50,N,N,0
TPA,A,Terminal A,,,3,A3,Gate A3,2,27.97564621698963; -82.53234168869787,N,Y,50,N,N,0
TPA,A,Terminal A,,,4,A4,Gate A4,3,27.97528616106833; -82.53235107642118,N,Y,50,N,N,0
TPA,A,Terminal A,,,5,A5,Gate A5,4,27.9750030899424; -82.53236784022056,N,Y,50,N,N,0
TPA,A,Terminal A,,,6,A6,Gate A6,5,27.97494446214648; -82.53233297150621,N,Y,50,N,N,0
TPA,A,Terminal A,,,7,A7,Gate A7,6,27.974936763544967; -82.53217338008278,N,Y,50,N,N,0
TPA,A,Terminal A,,,8,A8,Gate A8,7,27.974995391342617; -82.53212308866784,N,Y,50,N,N,0
TPA,A,Terminal A,,,9,A9,Gate A9,8,27.97535702126201; -82.53210538690935,N,Y,50,N,N,0
TPA,A,Terminal A,,,10,A10,Gate A10,9,27.975620227890126; -82.53209085048718,N,Y,50,N,N,0
TPA,A,Terminal A,,,11,A11,Gate A11,10,27.975900539513763; -82.53208797538402,N,Y,50,N,N,0
TPA,A,Terminal A,,,12,A12,Gate A12,11,27.976592376784996; -82.53206706881336,N,Y,50,N,N,0
TPA,A,Terminal A,,,14,A14,Gate A14,12,27.976894402580538; -82.53205330123754,N,Y,50,N,N,0
TPA,A,Terminal A,,,15,A15,Gate A15,13,27.977093155077558; -82.53206682901877,N,Y,50,N,N,0
TPA,A,Terminal A,,,16,A16,Gate A16,14,27.97720502107599; -82.53204715224605,N,Y,50,N,N,0
TPA,A,Terminal A,,,17,A17,Gate A17,15,27.977271271758234; -82.53213200832843,N,Y,50,N,N,0
TPA,A,Terminal A,,,18,A18,Gate A18,16,27.977266823347563; -82.53225762415694,N,Y,50,N,N,0
TPA,A,Terminal A,,,-1,ASA - LVL 2 Starbucks Hallway ,LVL 2 Starbucks Hallway ,19,"27.976644331694526, -82.53225504030473",N,Y,50,N,N,0
TPA,A,Terminal A,,,-2,ASA - LVL 1 IT Side Entrance  ,LVL 1 IT Side Entrance  ,18,"27.97711097700611, -82.53227649797701",N,Y,50,N,N,0
TPA,A,Terminal A,,,-3,ASA - LVL 1 United Elevator Hallway,LVL 1 United Elevator Hallway,20,"27.97489143277552, -82.53232477773953",N,Y,50,N,N,0
TPA,A,Terminal A,,,-4,ASA - LVL 1 A1 Back Elevator Hallway ,LVL 1 A1 Back Elevator Hallway ,17,"27.97593606921027, -82.5324696170261",N,Y,50,N,N,0
TPA,C,Terminal C ,,,30,C30,Gate C30,1,27.981925378999623; -82.53223047835081,N,Y,50,N,N,0
TPA,C,Terminal C ,,,31,C31,Gate C31,2,27.981903469011243; -82.53188380284344,N,Y,50,N,N,0
TPA,C,Terminal C ,,,32,C32,Gate C32,3,27.981901692525554; -82.53173083737605,N,Y,50,N,N,0
