airportName,airportCity,airportCountry,airportIataCode,airportIcaoCode,isReady,isPickupReady,isDeliveryReady,imageBackground,geoPointLocation,airportTimezone,employeeDiscountPCT,militaryDiscountPCT,pickupFeeInCents,serviceFeePCT,deliveryFeeInCents,employeeDeliveryFeeInCents
Boston Logan International,Boston,United States,BOS,KBOS,Y,Y,Y,default.png,42.364347;-71.005181,America/New_York,0.18,0.1,0,0,499,299
Denver International,Denver,United States,DEN,KDEN,Y,N,Y,default.png,39.861656;-104.673178,America/Denver,0.1,0.1,0,0,499,299
Newark Liberty International,Newark,United States,EWR,KEWR,Y,Y,Y,default.png,40.6925;-74.168667,America/New_York,0.1,0.1,0,0,499,299
John F Kennedy International,New York,United States,JFK,KJFK,Y,Y,Y,default.png,40.639751;-73.778925,America/New_York,0.2,0.2,0,0,499,299
Minneapolis St Paul International,Minneapolis,United States,MSP,KMSP,Y,Y,Y,default.png,44.881956;-93.221767,America/Chicago,0.1,0.1,0,0,499,299
Portland International,Portland,United States,PDX,KPDX,Y,Y,Y,default.png,45.588722;-122.5975,America/Los_Angeles,0.1,0.1,0,0,499,299
San Diego International,San Diego,United States,SAN,KSAN,Y,Y,Y,default.png,32.733556;-117.189667,America/Los_Angeles,0.1,0.1,0,0,499,299
LaGuardia New York,New York,United States,LGA,KLGA,Y,Y,Y,default.png,40.777245;-73.872608,America/New_York,0.02,0.02,0,0,499,299
Los Angeles International,Los Angeles,United States,LAX,KLAX,N,N,N,default.png,33.942536;-118.408075,America/Los_Angeles,0.15,0.15,0,0,499,299
Albuquerque International,Albuquerque,United States,ABQ,KABQ,N,N,N,default.png,35.0402222;-106.6091944,America/Denver,0.02,0.02,0,0,499,299
Ted Stevens Anchorage International,Anchorage,United States,ANC,PANC,N,N,N,default.png,61.174361;-149.996361,America/Anchorage,0.02,0.02,0,0,499,299
Hartsfield Jackson Atlanta International,Atlanta,United States,ATL,KATL,N,N,N,default.png,33.636719;-84.428067,America/New_York,0.02,0.02,0,0,499,299
Aruba Queen Beatrix International,Aruba,Netherlands,AUA,TNCA,N,N,N,default.png,12.501389;-70.015221,America/New_York,0.02,0.02,0,0,499,299
Austin Bergstrom International,Austin,United States,AUS,KAUS,N,N,N,default.png,30.194528;-97.669889,America/Chicago,0.02,0.02,0,0,499,299
Baudette International,Baudette,United States,BDE,KBDE,N,N,N,default.png,48.728444;-94.612222,America/Chicago,0.02,0.02,0,0,499,299
Bradley International,Hartford,United States,BDL,KBDL,N,N,N,default.png,41.938889;-72.683222,America/New_York,0.02,0.02,0,0,499,299
Nashville International,Nashville,United States,BNA,KBNA,N,N,N,default.png,36.124472;-86.678194,America/Chicago,0.02,0.02,0,0,499,299
Buffalo Niagara International,Buffalo,United States,BUF,KBUF,N,N,N,default.png,42.940525; -78.732167,America/New_York,0.02,0.02,0,0,499,299
Bob Hope Hollywood,Burbank,United States,BUR,KBUR,N,N,N,default.png,34.200667; -118.358667,America/Los_Angeles,0.02,0.02,0,0,499,299
Baltimore/Washington International Thurgood Marshall,Baltimore,United States,BWI,KBWI,N,N,N,default.png,39.175361;-76.668333,America/New_York,0.1,0.1,0,0,499,299
Cleveland Hopkins International,Cleveland,United States,CLE,KCLE,N,N,N,default.png,41.411689;-81.849794,America/New_York,0.02,0.02,0,0,499,299
Charlotte Douglas International,Charlotte,United States,CLT,KCLT,N,N,N,default.png,35.214;-80.943139,America/New_York,0.02,0.02,0,0,499,299
John Glenn Columbus International,Columbus,United States,CMH,KCMH,N,N,N,default.png,39.997972;-82.891889,America/New_York,0.02,0.02,0,0,499,299
Cancun International,Cancun,Mexico,CUN,MMUN,N,N,N,default.png,21.036528;-86.877083,America/New_York,0.02,0.02,0,0,499,299
Cincinnati/Northern Kentucky International Airport,Cincinnati,United States,CVG,KCVG,N,N,N,default.png,39.048836;-84.667822,America/New_York,0.02,0.02,0,0,499,299
Dallas Love Field,Dallas,United States,DAL,KDAL,N,N,N,default.png,32.847111;-96.851778,America/Chicago,0.02,0.02,0,0,499,299
Ronald Reagan Washington National,Washington,United States,DCA,KDCA,N,N,N,default.png,38.852083;-77.037722,America/New_York,0.02,0.02,0,0,499,299
