fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
A,A1,A,A2,10,20,20,Y,
A,A1,A,A3,10,30,40,Y,
A,A1,A,Pre-Security,10,-1,60,Y,
A,A1,B,B1,10,-1,80,Y,
A,A1,B,B2,10,51,100,Y,
A,A1,B,B3,10,-2,120,Y,
A,A1,B,Pre-Security,10,-2,140,Y,
A,A1,C,Pre-Security,10,-2,160,Y,
A,A1,P3,Car-Rental-Counters,10,-1,180,Y,
A,A1,P4,Daily-Parking,10,-1,200,Y,
A,A2,A,A1,20,10,20,Y,
A,A2,A,A3,20,30,20,Y,
A,A2,A,Pre-Security,20,-1,40,Y,
A,A2,B,B1,20,-1,60,Y,
A,A2,B,B2,20,51,80,Y,
A,A2,B,B3,20,-2,100,Y,
A,A2,B,Pre-Security,20,-2,120,Y,
A,A2,C,Pre-Security,20,-2,140,Y,
A,A2,P3,Car-Rental-Counters,20,-1,160,Y,
A,A2,P4,Daily-Parking,20,-1,180,Y,
A,A3,A,A1,30,10,40,Y,
A,A3,A,A2,30,20,20,Y,
A,A3,A,Pre-Security,30,-1,20,Y,
A,A3,B,B1,30,-1,40,Y,
A,A3,B,B2,30,51,60,Y,
A,A3,B,B3,30,-2,80,Y,
A,A3,B,Pre-Security,30,-2,100,Y,
A,A3,C,Pre-Security,30,-2,120,Y,
A,A3,P3,Car-Rental-Counters,30,-1,140,Y,
A,A3,P4,Daily-Parking,30,-1,160,Y,
A,Pre-Security,A,A1,-1,10,60,Y,
A,Pre-Security,A,A2,-1,20,40,Y,
A,Pre-Security,A,A3,-1,30,20,Y,
A,Pre-Security,B,B1,-1,-1,20,Y,
A,Pre-Security,B,B2,-1,51,40,Y,
A,Pre-Security,B,B3,-1,-2,60,Y,
A,Pre-Security,B,Pre-Security,-1,-2,80,Y,
A,Pre-Security,C,Pre-Security,-1,-2,100,Y,
A,Pre-Security,P3,Car-Rental-Counters,-1,-1,120,Y,
A,Pre-Security,P4,Daily-Parking,-1,-1,140,Y,
B,B1,A,A1,-1,10,80,Y,
B,B1,A,A2,-1,20,60,Y,
B,B1,A,A3,-1,30,40,Y,
B,B1,A,Pre-Security,-1,-1,20,Y,
B,B1,B,B2,-1,51,20,Y,
B,B1,B,B3,-1,-2,40,Y,
B,B1,B,Pre-Security,-1,-2,60,Y,
B,B1,C,Pre-Security,-1,-2,80,Y,
B,B1,P3,Car-Rental-Counters,-1,-1,100,Y,
B,B1,P4,Daily-Parking,-1,-1,120,Y,
B,B2,A,A1,51,10,100,Y,
B,B2,A,A2,51,20,80,Y,
B,B2,A,A3,51,30,60,Y,
B,B2,A,Pre-Security,51,-1,40,Y,
B,B2,B,B1,51,-1,20,Y,
B,B2,B,B3,51,-2,20,Y,
B,B2,B,Pre-Security,51,-2,40,Y,
B,B2,C,Pre-Security,51,-2,60,Y,
