fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
P3,Car Rental Counters,A,A1,-1,10,48,Y,
A,A1,A,A2,10,20,30,Y,
A,A1,A,A3,10,30,60,Y,
A,A1,A,Pre-Security,10,-1,78,Y,
A,A1,B,B1,10,-1,122,Y,
A,A2,A,A3,20,30,30,Y,
A,A3,A,Pre-Security,30,-1,18,N,
A,Pre-Security,B,B1,-1,-1,44,Y,
B,B1,B,B2,-1,51,30,Y,
B,B2,B,B3,51,-2,30,Y,
B,B3,B,Pre-Security,-2,-2,14,N,
B,Pre-Security,C,Pre-Security,-5,-2,44,N,
C,Pre-Security,P4,Daily Parking,-13,-1,30,N,
A,A1,P3,Car Rental Counters,10,-1,48,N,
A,A2,A,A1,20,10,30,Y,
A,A3,A,A2,30,20,30,Y,
A,Pre-Security,A,A3,-1,30,18,Y,
B,B1,A,Pre-Security,-1,-1,44,N,
B,B2,B,B1,51,-1,30,Y,
B,B3,B,B2,-2,51,30,Y,
B,Pre-Security,B,B3,-2,-2,14,Y,
C,Pre-Security,B,Pre-Security,-2,-5,44,N,
P4,Daily Parking,C,Pre-Security,-1,-13,30,N,
