airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
EWR,A,Terminal A,A1,Gates 10-18,0,TSA Checkpoint (A1),TSA Checkpoint (A1),6,40.68794250224763; -74.18254089546376,Y,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,10,10/11,Gates 10/11,1,40.687023749683924; -74.1851746584581,N,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,12,12/13,Gates 12/13,2,40.68702436642101; -74.18517289047847,N,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,14,14/15,Gates 14/15,3,40.68702560532735; -74.18516933894693,N,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,16,16/17,Gates 16/17,4,40.68702674508744; -74.1851660716347,N,Y,50,N,N,0
EWR,A,Terminal A,A1,Gates 10-18,18,18,Gate 18,5,40.687026856138765; -74.18516575328755,N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,0,TSA Checkpoint (A2),TSA Checkpoint (A2),6,40.6879178554693; -74.18255139206616,Y,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,20,20/21,Gates 20/21,1,"40.686323, -74.182948",N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,22,22/23,Gates 22/23,2,"40.686046, -74.183087",N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,24,24/25,Gates 24/25,3,"40.685867, -74.182778",N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,26,26/27,Gates 26/27,4,"40.686011, -74.182470",N,Y,50,N,N,0
EWR,A,Terminal A,A2,Gates 20-28,28,28,Gate 28,5,"40.686265, -74.182481",N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,0,TSA Checkpoint (A3),TSA Checkpoint (A3),6,40.68794250488352; -74.18254089355413,Y,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,30,30/31,Gates 30/31,1,40.686628058740425; -74.1800158762642,N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,32,32/33,Gates 32/33,2,40.68659155157006; -74.18000037679982,N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,34,34/35,Gates 34/35,3,40.686551181896476; -74.17998284517586,N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,36,36/37,Gates 36/37,4,40.68655672855549; -74.17998525889118,N,Y,50,N,N,0
EWR,A,Terminal A,A3,Gates 30-39,38,38/39,Gates 38/39,5,40.6865488244854; -74.1799818217166,N,Y,50,N,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-1,Airtrain Entrance,Airtrain Entrance,1,40.6872299376467; -74.18221833140444,Y,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-2,Bldg 351 Redevelopment Offices,Bldg 351 Redevelopment Offices,2,40.68992072959011; -74.18324093762313,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-3,Bldg 352 Redevelopment Offices,Bldg 352 Redevelopment Offices,3,40.689971125079204; -74.18310061232549,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-4,ASA Baggage Office,ASA Baggage Office,4,40.68794184244319; -74.18253965229759,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-5,AAL Credit Union,AAL Credit Union,5,40.687939786949954; -74.18254270146555,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-6,AAL Baggage Office,AAL Baggage Office,6,40.68794103944444; -74.18254190734076,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-7,JBU Baggage Office,JBU Baggage Office,7,40.6879417825173; -74.18254140208244,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-8,JBU Ticket Counter,JBU Ticket Counter,8,40.68794250511925; -74.18254089338629,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-9,ACA Ticket Counter,ACA Ticket Counter,9,40.687942505057656; -74.1825408934297,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-10,AAL Ticket Counter,AAL Ticket Counter,10,40.687942504904115; -74.1825408935394,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-11,ASA Ticket Counter,ASA Ticket Counter,11,40.68794250488879; -74.18254089355037,N,Y,50,Y,N,0
EWR,A,Terminal A,Pre-Security,Pre-Security,-12,TSA Training,TSA Training,12,40.687942504884326; -74.18254089355356,N,Y,50,Y,N,0
