optionPOSName,optionDisplayName,optionDisplayDescription,optionId,pricePerUnit,priceLevelId,isActive,uniqueRetailerItemModifierId,uniqueId,optionDisplaySequence,version
Marinated Grilled Chicken,Marinated Grilled Chicken,,1,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_1,ewr_salsaritas_b_presecurity_item_1_mod_1_option_1,1,
Seasoned Ground Beef,Seasoned Ground Beef,,2,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_1,ewr_salsaritas_b_presecurity_item_1_mod_1_option_2,2,
Pulled Pork,Pulled Pork,,3,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_1,ewr_salsaritas_b_presecurity_item_1_mod_1_option_3,3,
Fajita Veggies,Fajita Veggies,,4,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_1,ewr_salsaritas_b_presecurity_item_1_mod_1_option_4,4,
Mexican Rice,Mexican Rice,,5,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_1,1,
Brown Rice,Brown Rice,,6,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_2,2,
Black Beans,Black Beans,,7,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_3,3,
Pinto Beans,Pinto Beans,,8,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_4,4,
Shredded Cheese,Shredded Cheese,,9,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_5,5,
Lettuce,Lettuce,,10,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_6,6,
Tomato,Tomato,,11,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_7,7,
Sour Cream,Sour Cream,,12,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_8,8,
Queso,Queso,,13,269,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_9,9,
Guacamole,Guacamole,,14,269,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_2,ewr_salsaritas_b_presecurity_item_1_mod_2_option_10,10,
Pico de Gallo,Pico de Gallo,,15,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_3,ewr_salsaritas_b_presecurity_item_1_mod_3_option_1,1,
Mild,Mild,,16,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_3,ewr_salsaritas_b_presecurity_item_1_mod_3_option_2,2,
Medium,Medium,,17,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_3,ewr_salsaritas_b_presecurity_item_1_mod_3_option_3,3,
Hot,Hot,,18,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_3,ewr_salsaritas_b_presecurity_item_1_mod_3_option_4,4,
Sweet Corn,Sweet Corn,,19,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_3,ewr_salsaritas_b_presecurity_item_1_mod_3_option_5,5,
Spicy Corn,Spicy Corn,,20,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_3,ewr_salsaritas_b_presecurity_item_1_mod_3_option_6,6,
Tomatillo,Tomatillo,,21,,1,Y,ewr_salsaritas_b_presecurity_item_1_mod_3,ewr_salsaritas_b_presecurity_item_1_mod_3_option_7,7,
