airlineIataCode,airlineIcaoCode,airlineName,airlineCallSign,airlineCountry
MW,MUL,Mokulele Airlines,MUKULELE,United States
SN,BEL,Brussels Airlines,BEE-LINE,Belgium
UP,BHS,Bahamasair,BAHAMAS,Bahamas
Y4,VOI,Volaris,VOLARIS,Mexico
LH,DLH,Lufthansa,LUFTHANSA,Germany
B6,JBU,JetBlue Airways,JETBLUE,United States
CI,CAL,China Airlines,DYNASTY,Taiwan
IC,IAC,Indian Airlines,INDAIR,India
AA,AAL,American Airlines,AMERICAN,United States
WG,SWG,Sunwing Airlines,SUNWING,Canada
AY,FIN,Finnair,FINNAIR,Finland
VX,VRD,Virgin America,REDWOOD,United States
MH,MAS,Malaysia Airlines,MALAYSIAN,Malaysia
4U,GWI,Germanwings,GERMAN WINGS,Germany
GS,GUN,Grant Aviation,HOOT,United States
SV,SVA,Saudi Arabian Airlines,SAUDIA,Saudi Arabia
TK,THY,Turkish Airlines,TURKISH,Turkey
BY,TOM,Thomson Airways,TOMSON,United Kingdom
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan
XQ,SXS,Sun Air Express,SUNEXPRESS,Turkey
KA,HDA,Dragon Hong Kong Airlines,DRAGON,Hong Kong
EI,EIN,Aer Lingus,SHAMROCK,Ireland
HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong
8E,BRG,Bering Air,BERING AIR,United States
VS,VIR,Virgin Atlantic Airways,VIRGIN,United Kingdom
SU,AFL,Aeroflot Russian Airlines,AEROFLOT,Russia
OZ,AAR,Asiana Airlines,ASIANA,Republic of Korea
4Y,UYA,Yute Air Alaska,TUNDRA,United States
MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius
UA,UAL,United Airlines,UNITED,United States
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
IB,IBE,Iberia Airlines,IBERIA,Spain
LA,LAN,LAN Airlines,LAN CHILE,Chile
XP,CXP,Xtra Airways,CASINO EXPRESS,United States
GF,GBA,Gulf Air Bahrain,GULF BAHRAIN,Bahrain
KX,CAY,Cayman Airways,CAYMAN,Cayman Islands
VY,VLG,Vueling Airlines,VUELING,Spain
BR,EVA,EVA Air,EVA,Taiwan
ZH,CSZ,Shenzhen Airlines,SHENZHEN AIR,China
BW,BWA,Caribbean Airlines,CARIBBEAN,Trinidad and Tobago
OS,AUA,Austrian Airlines,AUSTRIAN,Austria
Q5,MLA,40-Mile Air,MILE-AIR,United States
TP,TAP,TAP Air Portugal,AIR PORTUGAL,Portugal
AM,AMX,Aeromexico,AEROMEXICO,Mexico
I9,IBU,Indigo,INDIGO BLUE,United States
JJ,TAM,TAM Brazilian Airlines,TAM,Brazil
U2,EZY,EasyJet,EASY,United Kingdom
QF,QFA,Qantas Airways,QANTAS,Australia
AK,AXM,AirAsia,RED CAP,Malaysia
KL,KLM,KLM,KLM,Netherlands
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain
K5,SQH,SeaPort Airlines,SASQUATCH,United States
DJ,VOZ,Virgin Australia,VELOCITY,Australia
MI,SLK,SilkAir,SILKAIR,Singapore
MQ,EGF,American Eagle Airlines,EAGLE FLIGHT,United States
MU,CES,China Eastern Airlines,CHINA EASTERN,China
JQ,JST,Jetstar Airways,JETSTAR,Australia
H4,IIN,Island Airways,,Cape Verde
FJ,FJI,Fiji Airways,PACIFIC,Fiji
JE,MNO,Mango,TULCA,South Africa
VN,HVN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam
