airportName,airportCity,airportCountry,airportIataCode,airportIcaoCode,isReady,isPickupReady,isDeliveryReady,imageBackground,geoPointLocation,airportTimezone,employeeDiscountPCT,militaryDiscountPCT
Los Angeles International,Los Angeles,United States,LAX,KLAX,N,N,N,,33.942536;-118.408075,America/Los_Angeles,0.02,0.02
Austin Bergstrom International,Austin,United States,AUS,KAUS,N,N,N,,30.194528;-97.669889,America/Chicago,0.02,0.02
Baltimore/Washington International Thurgood Marshall,Baltimore,United States,BWI,KBWI,N,N,N,,39.175361;-76.668333,America/New_York,0.1,0.1
Charlotte Douglas International,Charlotte,United States,CLT,KCLT,N,N,N,,35.214;-80.943139,America/New_York,0.02,0.02
Chicago Midway International,Chicago,United States,MDW,KMDW,N,N,N,,41.785972;-87.752417,America/Chicago,0.02,0.02
Chicago O'Hare International,Chicago,United States,ORD,KORD,N,N,N,,41.978603;-87.904842,America/Chicago,0.02,0.02
Cleveland Hopkins International,Cleveland,United States,CLE,KCLE,N,N,N,,41.411689;-81.849794,America/New_York,0.02,0.02
Dallas Fort Worth International,Dallas-Fort Worth,United States,DFW,KDFW,N,N,N,,32.896828;-97.037997,America/Chicago,0.02,0.02
Denver International,Denver,United States,DEN,KDEN,N,N,N,,39.861656;-104.673178,America/Denver,0.02,0.02
Detroit Metropolitan Wayne County,Detroit,United States,DTW,KDTW,N,N,N,,42.212444;-83.353389,America/New_York,0.02,0.02
Fort Lauderdale Hollywood International,Fort Lauderdale,United States,FLL,KFLL,N,N,N,,26.072583;-80.15275,America/New_York,0.02,0.02
Boston Logan International,Boston,United States,BOS,KBOS,N,N,N,,42.364347;-71.005181,America/New_York,0.02,0.02
George Bush Intercontinental Houston,Houston,United States,IAH,KIAH,N,N,N,,29.984433;-95.341442,America/Chicago,0.02,0.02
Hartsfield Jackson Atlanta International,Atlanta,United States,ATL,KATL,N,N,N,,33.636719;-84.428067,America/New_York,0.02,0.02
Honolulu International,Honolulu,United States,HNL,PHNL,N,N,N,,21.318681;-157.922428,Pacific/Honolulu,0.02,0.02
John F Kennedy International,New York,United States,JFK,KJFK,N,N,N,,40.639751;-73.778925,America/New_York,0.02,0.02
